    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  6.0000e+00  1.6721e+00  1.7358e+00  6.3244e-03 -1.5316e-01 -2.7310e-02  4.9845e-02  1.9058e-02 -5.9921e-01  6.4809e-01  9.4735e-02  2.0051e+00  2.4801e+00  1.6386e-02  8.8874e-03  1.6952e-02  5.3715e-03 -1.9765e-02  2.8139e-03  2.2924e-02  1.5378e+00  1.3623e+00  8.6425e-01  8.8720e-01  6.0778e-01  6.5055e-01  4.2185e-02  1.1834e-01  2.2643e-01  3.5704e-01  8.8034e-01
  6.1000e+00  1.6746e+00  1.7371e+00  5.8265e-03 -1.2843e-01 -1.9359e-02  4.2797e-02  1.6765e-02 -7.9736e-01  5.4867e-01  8.8813e-02  2.0053e+00  2.4801e+00  1.4130e-02  7.8648e-03  1.5347e-02  4.7316e-03 -2.2435e-02  2.6860e-03  2.0536e-02  1.5378e+00  1.3623e+00  7.3692e-01  7.5702e-01  5.1511e-01  5.5222e-01  3.4815e-02  9.8094e-02  1.8934e-01  3.5156e-01  8.7957e-01
  6.2000e+00  1.6759e+00  1.7383e+00  5.3543e-03 -1.1042e-01 -4.4177e-03  4.0550e-02  1.4919e-02 -6.1243e-01  5.1345e-01  9.3593e-02  2.0051e+00  2.4798e+00  1.0811e-02  6.2618e-03  1.4888e-02  4.3560e-03 -2.2122e-02  2.5613e-03  2.1136e-02  1.5378e+00  1.3622e+00  6.6820e-01  6.8686e-01  4.7566e-01  5.1455e-01  4.8609e-02  1.2048e-01  2.0138e-01  3.4433e-01  8.8026e-01
  6.3000e+00  1.6665e+00  1.7424e+00 -2.4930e-03  3.2742e-01  3.9159e-01  1.2684e-01  6.2191e-01 -1.5364e-01  1.3497e+00  1.0285e+00  2.0086e+00  2.4939e+00  1.9248e-01  3.9937e-01  3.1691e-01  2.6925e-01  2.5586e-01  1.2516e-01  1.1124e-01  1.5376e+00  1.3681e+00  1.0977e+00  1.0194e+00  9.7884e-01  1.1006e+00  1.1868e+00  2.8923e+00  2.3615e+00  4.4045e-01  9.2108e-01
  6.4000e+00  1.6718e+00  1.7495e+00 -6.7442e-03  9.2493e-01  7.5880e-01  2.3882e-01  1.2051e+00 -5.0910e-01  1.2587e+00  2.0359e+00  2.0162e+00  2.5108e+00  4.0493e-01  8.4278e-01  6.0525e-01  5.5593e-01  5.2998e-01  1.1377e-01  2.1161e-01  1.5564e+00  1.3744e+00  8.0015e-01  4.5959e-01  7.8493e-01  8.6611e-01  1.6139e+00  4.0656e+00  3.1633e+00  5.0168e-01  9.5358e-01
  6.5000e+00  1.6686e+00  1.7397e+00  6.9405e-04  5.1062e-02  2.3534e-01  9.7275e-02  2.3538e-01 -3.3722e+00  9.7234e-01  5.8635e-01  2.0077e+00  2.4883e+00  1.2714e-01  2.2525e-01  2.0365e-01  1.4589e-01  1.6416e-01 -1.4248e-01  1.4690e-01  1.6101e+00  1.3666e+00  1.0691e+00  1.0047e+00  8.8806e-01  9.3468e-01  8.8052e-01  2.1463e+00  1.8222e+00  5.5012e-01  9.0019e-01
  6.6000e+00  1.6600e+00  1.7364e+00  7.5378e-03 -8.5064e-02  1.8619e-01  8.5262e-02  1.1412e-01 -3.1345e+00  1.3143e+00  3.8107e-01  2.0049e+00  2.4838e+00  8.3419e-02  1.0923e-01  1.3442e-01  6.3691e-02  8.4910e-02 -4.5968e-02  9.7641e-02  1.5742e+00  1.3645e+00  1.5160e+00  1.4772e+00  1.2661e+00  1.3359e+00  7.4276e-01  1.6731e+00  1.5560e+00  7.3618e-01  9.0270e-01
  6.7000e+00  1.6551e+00  1.7359e+00  2.5050e-02 -4.6397e-02  2.4876e-01  1.0319e-01  2.1252e-01 -2.7350e+00  1.5276e+00  6.3029e-01  2.0064e+00  2.4891e+00  1.7050e-01  2.3569e-01  2.4139e-01  1.5393e-01  1.7961e-01  8.3147e-02  1.2551e-01  1.5442e+00  1.3681e+00  1.7819e+00  1.6991e+00  1.5092e+00  1.5736e+00  1.0537e+00  2.4650e+00  2.1473e+00  9.5136e-01  9.1165e-01
  6.8000e+00  1.6499e+00  1.7388e+00  7.6584e-02  2.1359e-01  5.4398e-01  1.7395e-01  7.2833e-01 -1.7475e+00  1.8468e+00  1.5244e+00  2.0151e+00  2.5116e+00  5.1617e-01  7.2367e-01  6.4059e-01  5.3530e-01  4.9984e-01  2.7308e-01  3.2897e-01  1.5420e+00  1.3800e+00  2.0669e+00  1.8645e+00  1.8351e+00  1.8722e+00  1.6042e+00  3.9431e+00  3.1727e+00  1.0668e+00  9.3573e-01
  6.9000e+00  1.6537e+00  1.7391e+00  1.2702e-01  2.5812e-01  6.0846e-01  2.3238e-01  9.0529e-01 -1.1754e+00  1.5531e+00  1.8625e+00  2.0222e+00  2.5264e+00  7.3698e-01  9.6561e-01  8.4554e-01  7.3515e-01  6.2412e-01  3.6632e-01  4.8258e-01  1.5425e+00  1.3870e+00  1.9108e+00  1.6011e+00  1.6337e+00  1.6071e+00  1.5859e+00  4.0217e+00  3.1784e+00  8.8752e-01  9.3613e-01
  7.0000e+00  1.6461e+00  1.7361e+00  1.3851e-01  2.4190e-01  6.6250e-01  2.6880e-01  1.0293e+00 -5.1388e-01  1.8883e+00  1.9586e+00  2.0230e+00  2.5297e+00  7.9383e-01  1.0119e+00  8.8917e-01  7.7050e-01  6.4345e-01  3.7954e-01  5.0088e-01  1.5420e+00  1.3870e+00  2.3018e+00  1.9924e+00  1.9454e+00  1.9249e+00  1.5533e+00  3.9494e+00  3.1326e+00  7.8156e-01  9.4605e-01
  7.1000e+00  1.6256e+00  1.7274e+00  9.8119e-02  9.9461e-02  6.5577e-01  2.4570e-01  1.0319e+00 -1.1586e-01  2.8731e+00  1.6196e+00  2.0136e+00  2.5170e+00  6.4586e-01  7.7461e-01  7.2587e-01  5.6631e-01  4.9830e-01  2.7803e-01  3.6579e-01  1.5401e+00  1.3793e+00  3.2464e+00  3.0910e+00  2.7621e+00  2.8446e+00  1.4920e+00  3.6507e+00  2.9978e+00  8.7871e-01  9.6925e-01
  7.2000e+00  1.6104e+00  1.7197e+00  6.8303e-02 -1.8712e-01  4.6485e-01  2.3575e-01  7.2479e-01  7.2248e-02  3.4740e+00  1.1786e+00  2.0090e+00  2.5045e+00  4.7023e-01  5.1105e-01  5.3031e-01  4.0757e-01  3.5795e-01  2.0524e-01  2.8822e-01  1.5396e+00  1.3743e+00  4.0024e+00  3.8975e+00  3.3675e+00  3.4752e+00  1.3384e+00  3.1793e+00  2.7605e+00  8.8399e-01  9.5628e-01
  7.3000e+00  1.5923e+00  1.7099e+00  7.3718e-02 -4.0936e-01  3.5264e-01  3.6265e-01  6.2759e-01  3.9961e-01  3.9410e+00  1.2684e+00  2.0091e+00  2.5008e+00  3.9024e-01  5.1294e-01  4.8598e-01  4.1170e-01  3.5125e-01  2.0040e-01  2.6738e-01  1.5395e+00  1.3727e+00  4.9478e+00  4.7406e+00  4.0408e+00  4.1027e+00  1.1768e+00  2.9187e+00  2.6043e+00  6.7756e-01  9.5427e-01
