log_age	F1370	F1400	F1425	F1460	UV_1501	F1533	F1550	UV_1719	F1853	F1978
6.0	8.4998e-02	1.5808e-01	7.4508e-02	3.1546e-03	3.8542e-02	5.5099e-02	4.3722e-01	7.5104e-02	5.6918e-02	2.7332e+00
6.1	8.5780e-02	1.5200e-01	7.1406e-02	2.0821e-03	3.7413e-02	5.3808e-02	4.3060e-01	7.3563e-02	5.5949e-02	2.6119e+00
6.2	8.8688e-02	1.4809e-01	6.9428e-02	1.7506e-03	3.6550e-02	5.2885e-02	4.2361e-01	7.2413e-02	5.5213e-02	2.5128e+00
6.3	1.0836e-01	1.5472e-01	6.5728e-02	1.1966e-02	3.5082e-02	5.1332e-02	4.3238e-01	8.0522e-02	5.2628e-02	2.3020e+00
6.4	1.4427e-01	1.9849e-01	5.9368e-02	4.9700e-02	3.8771e-02	5.2090e-02	5.0470e-01	1.0933e-01	4.5972e-02	1.9947e+00
6.5	9.2505e-02	1.5813e-01	5.9429e-02	2.9400e-02	4.1716e-02	4.8541e-02	4.4564e-01	9.3057e-02	4.5296e-02	1.8222e+00
6.6	6.0735e-02	1.5914e-01	6.1269e-02	2.3732e-02	5.1546e-02	5.4027e-02	4.6246e-01	5.7422e-02	4.3474e-02	1.8275e+00
6.7	2.3018e-02	1.6880e-01	6.5330e-02	2.5886e-02	6.1956e-02	6.0274e-02	5.1108e-01	2.8402e-02	4.4122e-02	1.8626e+00
6.8	-4.4788e-02	1.9230e-01	7.2195e-02	3.9308e-02	9.4363e-02	7.9131e-02	5.7225e-01	-1.2408e-02	4.1803e-02	1.7216e+00
6.9	-2.0145e-02	1.9213e-01	7.6334e-02	3.9001e-02	8.7968e-02	7.6444e-02	5.7771e-01	1.0264e-02	4.2055e-02	1.6824e+00
7.0	8.0002e-03	1.8571e-01	7.7721e-02	3.4489e-02	7.1706e-02	6.8647e-02	5.3472e-01	3.4252e-02	4.3435e-02	1.5759e+00
7.1	6.4019e-02	1.8196e-01	8.1380e-02	2.4173e-02	4.1757e-02	5.4169e-02	4.4722e-01	7.5350e-02	4.5287e-02	1.4234e+00
7.2	8.1156e-02	1.9505e-01	8.7512e-02	2.3372e-02	3.5635e-02	5.1740e-02	3.7918e-01	8.5163e-02	4.3214e-02	1.2213e+00
7.3	7.9955e-02	1.9475e-01	8.4113e-02	2.3025e-02	3.4650e-02	4.8053e-02	2.9984e-01	8.2822e-02	3.8468e-02	1.0206e+00
7.4	7.9340e-02	2.0448e-01	8.7696e-02	2.2782e-02	3.3972e-02	4.6340e-02	2.5369e-01	7.7097e-02	3.8559e-02	9.4664e-01
7.5	8.1050e-02	2.1394e-01	8.9538e-02	2.4343e-02	3.5404e-02	4.5875e-02	2.1742e-01	7.8501e-02	4.0204e-02	9.1115e-01
7.6	8.0410e-02	2.1130e-01	8.2820e-02	2.4774e-02	3.7273e-02	4.5010e-02	1.9789e-01	8.5560e-02	4.0863e-02	8.8128e-01
7.7	8.7217e-02	2.1217e-01	6.5741e-02	2.7135e-02	4.2321e-02	4.4269e-02	1.9527e-01	1.0162e-01	3.6439e-02	8.0122e-01
7.8	8.5249e-02	2.0773e-01	5.8401e-02	2.6540e-02	4.0384e-02	4.0558e-02	1.8022e-01	1.0835e-01	3.5017e-02	7.3603e-01
7.9	7.8234e-02	1.9390e-01	5.0036e-02	2.5298e-02	3.5757e-02	3.5213e-02	1.5856e-01	1.1769e-01	3.3945e-02	6.6671e-01
8.0	7.6089e-02	2.0120e-01	4.4756e-02	2.3717e-02	3.1277e-02	3.1330e-02	1.4223e-01	1.2610e-01	3.5013e-02	6.4639e-01
