log_age	F1370	F1400	F1425	F1460	UV_1501	F1533	F1550	UV_1719	F1853	F1978
6.0	2.6143e+00	4.8714e+00	5.7764e-01	1.9920e+00	1.8137e+00	3.9579e+00	8.3176e+00	2.2828e+00	9.9502e-01	1.1392e+00
6.1	2.2373e+00	4.4601e+00	5.7594e-01	2.0094e+00	2.1148e+00	3.4045e+00	9.2314e+00	2.2299e+00	1.1448e+00	1.1071e+00
6.2	2.0701e+00	4.2782e+00	6.3222e-01	1.9507e+00	2.1982e+00	3.3106e+00	9.8007e+00	2.2476e+00	1.2078e+00	1.1501e+00
6.3	1.8119e+00	4.0667e+00	1.0855e+00	2.0564e+00	2.1126e+00	2.7706e+00	1.0374e+01	2.3418e+00	1.1521e+00	2.9882e+00
6.4	1.5626e+00	4.1790e+00	1.4367e+00	1.8422e+00	1.8236e+00	2.2787e+00	9.7641e+00	2.2444e+00	1.2713e+00	5.2116e+00
6.5	1.3493e+00	4.9961e+00	1.8323e+00	1.7295e+00	1.8584e+00	1.9823e+00	8.8089e+00	2.1307e+00	1.6073e+00	3.8782e+00
6.6	1.2838e+00	5.9630e+00	2.2787e+00	1.6369e+00	1.7735e+00	1.6773e+00	8.1898e+00	2.7477e+00	2.0234e+00	2.2775e+00
6.7	1.2508e+00	6.7487e+00	2.4541e+00	1.6380e+00	1.5941e+00	1.4642e+00	7.8402e+00	3.1391e+00	1.9592e+00	2.9918e+00
6.8	1.2740e+00	7.1966e+00	2.4108e+00	1.0941e+00	1.1981e+00	1.2082e+00	6.3806e+00	3.4621e+00	1.9360e+00	3.4204e+00
6.9	1.4295e+00	8.0600e+00	1.9964e+00	-2.8412e-01	6.7686e-01	8.8911e-01	3.9880e+00	3.3183e+00	1.9393e+00	2.9720e+00
7.0	1.6647e+00	8.1518e+00	1.8317e+00	-1.0504e+00	4.3103e-01	6.6806e-01	2.3523e+00	3.2702e+00	2.1109e+00	2.5420e+00
7.1	1.8639e+00	7.3399e+00	1.9030e+00	-9.6272e-01	3.8222e-01	5.8370e-01	1.9100e+00	3.5098e+00	2.3921e+00	2.3970e+00
7.2	1.9699e+00	6.5003e+00	1.9415e+00	-7.8918e-01	2.9078e-01	5.0175e-01	1.5828e+00	3.6543e+00	2.5883e+00	2.0598e+00
7.3	1.9927e+00	5.6141e+00	1.9618e+00	-5.4167e-01	1.5746e-01	4.3772e-01	1.3860e+00	3.7522e+00	2.7079e+00	1.6594e+00
7.4	1.9681e+00	4.6577e+00	1.9296e+00	-3.3150e-01	-4.1464e-02	3.7163e-01	1.1952e+00	3.8200e+00	2.7862e+00	1.1213e+00
7.5	1.9160e+00	3.7385e+00	1.8646e+00	-1.3165e-01	-2.6826e-01	3.3793e-01	1.0513e+00	3.8649e+00	2.8577e+00	5.1653e-01
7.6	1.8550e+00	2.8857e+00	1.7832e+00	9.8985e-02	-5.1705e-01	3.4121e-01	1.0142e+00	3.9094e+00	2.9270e+00	-1.1554e-01
7.7	1.8049e+00	2.1048e+00	1.6711e+00	4.5039e-01	-8.0625e-01	4.2753e-01	1.1269e+00	3.9386e+00	2.9732e+00	-8.1129e-01
7.8	1.7646e+00	1.5409e+00	1.5571e+00	8.7491e-01	-1.0540e+00	5.7321e-01	1.3502e+00	3.9658e+00	3.0129e+00	-1.3924e+00
7.9	1.7560e+00	1.1212e+00	1.4213e+00	1.4114e+00	-1.3082e+00	7.5205e-01	1.5959e+00	3.9833e+00	3.0585e+00	-1.9279e+00
8.0	1.7811e+00	8.5271e-01	1.2456e+00	1.9895e+00	-1.5343e+00	8.7791e-01	1.7559e+00	3.9681e+00	3.0760e+00	-2.3605e+00
8.1	1.9014e+00	7.2814e-01	1.0351e+00	2.6691e+00	-1.7056e+00	9.0749e-01	1.8758e+00	3.9250e+00	3.0700e+00	-2.5828e+00
8.2	2.0804e+00	6.6534e-01	7.9557e-01	3.4835e+00	-1.8258e+00	8.3454e-01	1.9379e+00	3.9038e+00	3.0568e+00	-2.6929e+00
8.3	2.2749e+00	9.3818e-01	6.0039e-01	4.1787e+00	-1.7044e+00	5.1753e-01	1.6901e+00	3.9376e+00	3.0899e+00	-2.4928e+00
8.4	2.4196e+00	1.4739e+00	6.2252e-01	4.1486e+00	-1.0462e+00	-2.1606e-01	1.2706e+00	4.0272e+00	3.2148e+00	-1.7628e+00
8.5	2.0416e+00	1.5282e+00	1.0280e+00	2.6862e+00	-2.0177e-01	-8.1400e-01	1.5755e+00	4.1661e+00	3.4731e+00	-5.4321e-01
8.6	1.7298e+00	8.6030e-01	1.1980e+00	2.0189e+00	-8.0878e-01	-8.0241e-02	2.1069e+00	4.1799e+00	3.8839e+00	8.0144e-01
8.7	1.7060e+00	1.1477e+00	1.1511e+00	2.6298e+00	-1.0845e+00	8.3840e-01	2.9259e+00	4.2370e+00	4.2608e+00	2.2713e+00
8.8	1.7280e+00	1.2385e+00	9.7874e-01	2.9336e+00	-1.2017e+00	6.3427e-01	2.4873e+00	4.5710e+00	4.5312e+00	3.3984e+00
8.9	1.6979e+00	2.1075e+00	9.4934e-01	2.8521e+00	-8.8253e-01	5.2472e-01	2.2616e+00	4.5176e+00	4.3054e+00	3.3850e+00
