    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  6.0000e+00  1.6746e+00  1.7395e+00  4.8700e-03 -1.0274e-01  1.2125e-01  3.2116e-02  1.0825e-01 -2.4308e-01  6.8657e-01  1.8785e-01  2.0043e+00  2.4814e+00  6.7279e-03  2.8566e-02  7.3270e-02  2.9893e-02  4.5203e-03  2.0970e-02  4.1812e-02  1.5381e+00  1.3626e+00  6.9838e-01  7.6401e-01  5.3803e-01  6.3639e-01  2.1606e-01  4.6327e-01  5.1039e-01  3.9290e-01  8.8616e-01
  6.1000e+00  1.6792e+00  1.7403e+00  7.2653e-03 -8.0554e-02  5.2222e-02  2.6017e-02  3.6720e-02 -2.9910e-01  3.9444e-01  1.1345e-01  2.0052e+00  2.4805e+00  1.2777e-02  1.4729e-02  3.5735e-02  1.5911e-02 -4.4983e-03  6.6105e-03  2.4044e-02  1.5379e+00  1.3623e+00  4.8296e-01  4.9825e-01  3.4649e-01  3.8527e-01  4.8662e-02  1.2247e-01  1.7612e-01  3.4474e-01  8.8095e-01
  6.2000e+00  1.6786e+00  1.7399e+00  7.4670e-03 -8.6354e-02  5.3484e-02  2.7477e-02  3.6697e-02 -2.3649e-01  4.1503e-01  1.1710e-01  2.0052e+00  2.4805e+00  1.2977e-02  1.5040e-02  3.7117e-02  1.7010e-02 -2.5977e-03  6.8867e-03  2.3103e-02  1.5379e+00  1.3623e+00  5.1129e-01  5.2505e-01  3.6709e-01  4.0725e-01  5.0757e-02  1.2801e-01  1.8514e-01  3.4673e-01  8.8132e-01
  6.3000e+00  1.6765e+00  1.7301e+00  7.8553e-03 -8.8856e-02  4.5575e-02  3.6251e-02 -6.4509e-02 -1.6479e+00  2.4468e-01  1.3866e-01  2.0060e+00  2.4809e+00  2.2499e-02  1.7191e-02  4.0642e-02  6.0891e-02  8.6846e-03  1.8430e-02 -1.9943e-01  1.5379e+00  1.3614e+00  6.0348e-01  4.7937e-01  3.3690e-01  3.7038e-01  5.2909e-02  1.3228e-01  1.9027e-01  4.8800e-01  8.8039e-01
  6.4000e+00  1.6662e+00  1.7177e+00  1.1271e-02 -2.2314e-01 -2.8847e-02  5.3175e-02 -1.5108e-01 -3.0872e+00  5.1192e-01  2.9510e-01  2.0066e+00  2.4809e+00  1.4433e-02  2.0034e-02  8.0144e-02  1.1259e-01  2.8748e-02  2.3049e-02 -3.6480e-01  1.5385e+00  1.3610e+00  1.0572e+00  9.6420e-01  5.4388e-01  7.4105e-01  1.4636e-01  3.4590e-01  4.5682e-01  8.2405e-01  8.8107e-01
  6.5000e+00  1.6601e+00  1.7237e+00  1.7588e-02 -2.8584e-01  1.1386e-01  1.0321e-01 -2.9167e-01 -6.5944e+00  7.3763e-01  3.0185e-01  2.0069e+00  2.4806e+00 -1.0603e-02 -5.6838e-03  1.0693e-01 -9.0759e-02 -2.3398e-01 -3.7116e-02 -2.6693e-01  1.5530e+00  1.3612e+00  1.5238e+00  1.2758e+00  9.3478e-01  1.0479e+00  1.6772e-01  4.7057e-01  6.3587e-01  1.3780e+00  8.8911e-01
  6.6000e+00  1.6529e+00  1.7335e+00  2.0155e-02 -3.1127e-01  3.9999e-01  1.1528e-01 -8.2447e-03 -5.3402e+00  1.4856e+00  5.2435e-01  2.0066e+00  2.4871e+00  1.7820e-02  6.3800e-02  2.6857e-01  8.5010e-04 -1.3001e-01  3.2514e-02  1.5989e-01  1.5621e+00  1.3707e+00  1.9314e+00  1.7917e+00  1.4632e+00  1.6069e+00  6.9630e-01  1.6046e+00  1.6608e+00  1.2877e+00  9.0248e-01
  6.7000e+00  1.6507e+00  1.7302e+00  3.6958e-02 -3.5138e-01  3.2891e-01  1.3640e-01  5.9121e-02 -4.0199e+00  1.4760e+00  7.7316e-01  2.0092e+00  2.4982e+00  2.3863e-01  2.3556e-01  4.5244e-01  1.5637e-01 -8.2815e-02  5.6023e-02  4.2089e-01  1.5805e+00  1.4095e+00  1.9535e+00  1.7989e+00  1.4543e+00  1.5523e+00  9.2808e-01  2.5188e+00  2.6952e+00  1.0575e+00  9.0038e-01
  6.8000e+00  1.6385e+00  1.7236e+00  4.9934e-02 -4.8885e-01  2.1672e-01  1.7047e-01  2.1236e-01 -1.4677e+00  2.0175e+00  1.1321e+00  2.0103e+00  2.5054e+00  3.7627e-01  3.5477e-01  5.8193e-01  3.1081e-01  1.6522e-01  9.5780e-02  6.0605e-01  1.5848e+00  1.4298e+00  2.4695e+00  2.4346e+00  1.8487e+00  2.0261e+00  1.0092e+00  2.8196e+00  3.0109e+00  8.4069e-01  9.0202e-01
  6.9000e+00  1.6180e+00  1.7140e+00  6.3589e-02 -7.1201e-01  1.7252e-01  2.3226e-01  3.2482e-01  1.3148e-01  2.8462e+00  1.4139e+00  2.0114e+00  2.5122e+00  4.5739e-01  4.3850e-01  6.8844e-01  4.1065e-01  2.7417e-01  9.0412e-02  7.3432e-01  1.5965e+00  1.4546e+00  3.3995e+00  3.4205e+00  2.5719e+00  2.8213e+00  1.1089e+00  3.1261e+00  3.2367e+00  7.6311e-01  9.0839e-01
  7.0000e+00  1.6031e+00  1.7089e+00  7.9113e-02 -8.7618e-01  2.8756e-01  2.9479e-01  4.1143e-01  5.3488e-01  3.5156e+00  1.5878e+00  2.0138e+00  2.5190e+00  5.0495e-01  5.1150e-01  7.8790e-01  4.7973e-01  3.1018e-01  9.3079e-02  8.1777e-01  1.6064e+00  1.4689e+00  4.1604e+00  4.1649e+00  3.1993e+00  3.4691e+00  1.2399e+00  3.4324e+00  3.4007e+00  7.9159e-01  9.1701e-01
  7.1000e+00  1.5950e+00  1.7076e+00  1.0450e-01 -9.3900e-01  5.0689e-01  3.5383e-01  5.4724e-01  6.3279e-01  3.9398e+00  1.7695e+00  2.0167e+00  2.5287e+00  6.1618e-01  6.2147e-01  9.2329e-01  5.7065e-01  3.6420e-01  1.2676e-01  9.2185e-01  1.6134e+00  1.4812e+00  4.6273e+00  4.5740e+00  3.6269e+00  3.8749e+00  1.3203e+00  3.6345e+00  3.5054e+00  8.5888e-01  9.2774e-01
  7.2000e+00  1.5871e+00  1.7056e+00  1.2855e-01 -9.8817e-01  7.0075e-01  4.0316e-01  7.0340e-01  6.1210e-01  4.2473e+00  1.9138e+00  2.0209e+00  2.5385e+00  7.0955e-01  7.1945e-01  1.0615e+00  6.7019e-01  4.2748e-01  2.1452e-01  1.0939e+00  1.6086e+00  1.4778e+00  5.0770e+00  4.9427e+00  4.0229e+00  4.2292e+00  1.3960e+00  3.7577e+00  3.5220e+00  9.2963e-01  9.3753e-01
  7.3000e+00  1.5797e+00  1.7023e+00  1.2025e-01 -1.0564e+00  7.7259e-01  3.9821e-01  6.9519e-01  3.6080e-01  4.5363e+00  1.6598e+00  2.0170e+00  2.5289e+00  5.7063e-01  6.0423e-01  9.4491e-01  5.8793e-01  3.7066e-01  2.1805e-01  9.4143e-01  1.5892e+00  1.4479e+00  5.4846e+00  5.3555e+00  4.3670e+00  4.5747e+00  1.3136e+00  3.4680e+00  3.3069e+00  1.0317e+00  9.4473e-01
  7.4000e+00  1.5729e+00  1.7001e+00  1.6050e-01 -1.0395e+00  9.5340e-01  4.3885e-01  9.9568e-01  3.5740e-01  4.6623e+00  2.0025e+00  2.0286e+00  2.5535e+00  8.2894e-01  8.3808e-01  1.2440e+00  8.1297e-01  5.2202e-01  3.7311e-01  1.3267e+00  1.5958e+00  1.4649e+00  5.8387e+00  5.5811e+00  4.6715e+00  4.7977e+00  1.5103e+00  3.8891e+00  3.4923e+00  1.1492e+00  9.5619e-01
  7.5000e+00  1.5645e+00  1.6955e+00  1.6157e-01 -1.0809e+00  9.6994e-01  4.0991e-01  1.0349e+00  2.3093e-01  4.9288e+00  1.8671e+00  2.0264e+00  2.5495e+00  7.9784e-01  7.8953e-01  1.1938e+00  7.9151e-01  5.0147e-01  3.8434e-01  1.2161e+00  1.5837e+00  1.4456e+00  6.2416e+00  5.9883e+00  4.9956e+00  5.1099e+00  1.4727e+00  3.7476e+00  3.3971e+00  1.3201e+00  9.6450e-01
  7.6000e+00  1.5571e+00  1.6916e+00  1.7325e-01 -1.0933e+00  9.9662e-01  3.8096e-01  1.1294e+00  1.5016e-01  5.1245e+00  1.8458e+00  2.0276e+00  2.5519e+00  8.4289e-01  8.0624e-01  1.2210e+00  8.2807e-01  5.1769e-01  4.2678e-01  1.2045e+00  1.5748e+00  1.4324e+00  6.5832e+00  6.3155e+00  5.2688e+00  5.3594e+00  1.4727e+00  3.7107e+00  3.3602e+00  1.5374e+00  9.7320e-01
