    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  6.0000e+00  1.6760e+00  1.7385e+00  7.6249e-03 -1.1186e-01  3.2075e-02  3.7135e-02  3.6367e-02 -4.0939e-01  5.2653e-01  1.1554e-01  2.0052e+00  2.4805e+00  1.6734e-02  1.4124e-02  3.2338e-02  1.3216e-02 -1.1759e-02  5.6961e-03  2.5420e-02  1.5379e+00  1.3623e+00  6.5951e-01  6.7824e-01  4.7397e-01  5.1905e-01  5.5303e-02  1.4297e-01  2.1962e-01  3.6184e-01  8.8056e-01
  6.1000e+00  1.6788e+00  1.7399e+00  6.5380e-03 -8.3486e-02  2.9932e-02  2.9145e-02  2.8138e-02 -3.2779e-01  4.0169e-01  1.0005e-01  2.0051e+00  2.4801e+00  1.3143e-02  1.1280e-02  2.5944e-02  1.0286e-02 -1.0915e-02  4.7743e-03  2.0876e-02  1.5378e+00  1.3622e+00  5.1087e-01  5.2544e-01  3.6340e-01  3.9840e-01  4.0839e-02  1.0564e-01  1.6334e-01  3.4224e-01  8.8074e-01
  6.2000e+00  1.6786e+00  1.7395e+00  6.5755e-03 -8.3954e-02  2.7973e-02  2.8950e-02  2.5947e-02 -4.3447e-01  3.9383e-01  1.0231e-01  2.0051e+00  2.4800e+00  1.2179e-02  1.0035e-02  2.6224e-02  1.0583e-02 -9.0473e-03  4.9182e-03  1.8754e-02  1.5378e+00  1.3621e+00  5.1448e-01  5.2151e-01  3.6242e-01  3.9553e-01  4.1057e-02  1.0526e-01  1.6345e-01  3.4106e-01  8.8097e-01
  6.3000e+00  1.6745e+00  1.7315e+00  7.8336e-03 -1.0416e-01  2.0464e-02  4.1808e-02 -2.2073e-02 -1.5314e+00  3.7073e-01  1.4467e-01  2.0052e+00  2.4797e+00  1.5008e-02  8.0805e-03  3.2524e-02  3.7913e-02 -3.2954e-03  1.3350e-02 -6.9705e-02  1.5381e+00  1.3612e+00  7.2357e-01  5.8461e-01  4.5069e-01  4.5007e-01  5.2588e-02  1.2978e-01  2.0202e-01  4.2799e-01  8.8051e-01
  6.4000e+00  1.6675e+00  1.7263e+00  1.3108e-02 -1.8583e-01  7.4535e-03  7.3994e-02 -1.2934e-01 -3.0169e+00  5.3285e-01  2.7116e-01  2.0052e+00  2.4791e+00  8.6023e-03 -4.8251e-05  4.9984e-02  2.8101e-03  7.8837e-04  1.2660e-03 -1.1994e-01  1.5404e+00  1.3609e+00  1.1216e+00  9.0223e-01  6.6564e-01  7.1712e-01  1.0257e-01  2.4592e-01  3.7194e-01  7.6807e-01  8.8277e-01
  6.5000e+00  1.6634e+00  1.7322e+00  3.1936e-03 -2.2400e-01  1.8991e-01  1.2028e-01 -1.1865e-01 -4.7250e+00  9.1575e-01  2.8575e-01  2.0048e+00  2.4799e+00 -1.2306e-02  6.6658e-03  8.4250e-02 -5.7578e-02 -6.0908e-03  9.4256e-03 -2.1789e-03  1.5697e+00  1.3619e+00  1.3461e+00  1.2290e+00  9.5843e-01  1.0513e+00  2.5960e-01  5.9069e-01  7.1729e-01  8.8105e-01  8.8987e-01
  6.6000e+00  1.6620e+00  1.7368e+00  9.3406e-03 -1.8667e-01  3.5404e-01  1.3059e-01 -3.4905e-02 -5.4671e+00  1.1356e+00  3.9489e-01  2.0058e+00  2.4850e+00  4.9393e-02  8.1817e-02  1.8802e-01 -2.5092e-02  4.4428e-02  4.8390e-02  1.6026e-01  1.5765e+00  1.3669e+00  1.4785e+00  1.3495e+00  1.1326e+00  1.2259e+00  5.9524e-01  1.3569e+00  1.3377e+00  9.8668e-01  8.9886e-01
  6.7000e+00  1.6622e+00  1.7352e+00  3.2812e-02 -1.5506e-01  3.2299e-01  1.3140e-01  5.9936e-02 -4.7175e+00  9.6727e-01  7.4783e-01  2.0138e+00  2.5039e+00  3.0767e-01  3.0542e-01  4.5931e-01  1.7975e-01  1.4952e-01  1.3220e-01  5.0743e-01  1.5812e+00  1.4078e+00  1.5014e+00  1.2411e+00  1.0928e+00  1.1097e+00  1.1777e+00  2.9290e+00  2.6047e+00  1.0157e+00  8.9985e-01
  6.8000e+00  1.6557e+00  1.7315e+00  6.4077e-02 -1.7388e-01  3.6600e-01  1.8286e-01  3.9699e-01 -2.0558e+00  1.2485e+00  1.3487e+00  2.0238e+00  2.5317e+00  6.5885e-01  6.3114e-01  8.5176e-01  5.5718e-01  4.1074e-01  2.6346e-01  1.0020e+00  1.6033e+00  1.4687e+00  1.7277e+00  1.4820e+00  1.2861e+00  1.3186e+00  1.6039e+00  4.0781e+00  3.4966e+00  7.9309e-01  9.0394e-01
  6.9000e+00  1.6443e+00  1.7261e+00  1.1130e-01 -2.7579e-01  4.2377e-01  2.7629e-01  6.7734e-01 -3.6334e-01  1.6862e+00  2.0162e+00  2.0376e+00  2.5670e+00  1.0957e+00  9.8952e-01  1.2658e+00  9.0755e-01  6.2930e-01  3.4515e-01  1.5697e+00  1.6461e+00  1.5491e+00  2.2147e+00  1.9157e+00  1.6765e+00  1.6828e+00  1.7202e+00  4.5249e+00  3.8476e+00  6.6467e-01  9.0745e-01
  7.0000e+00  1.6250e+00  1.7181e+00  1.2437e-01 -4.6912e-01  4.4639e-01  3.4952e-01  7.7048e-01  4.9143e-01  2.4773e+00  2.1421e+00  2.0401e+00  2.5703e+00  1.1048e+00  1.0166e+00  1.2927e+00  9.4621e-01  6.3804e-01  3.5812e-01  1.6133e+00  1.6424e+00  1.5421e+00  3.1687e+00  2.8651e+00  2.4268e+00  2.4693e+00  1.6961e+00  4.4651e+00  3.7847e+00  6.1190e-01  9.1486e-01
  7.1000e+00  1.5997e+00  1.7095e+00  1.5396e-01 -6.9738e-01  5.7913e-01  4.5728e-01  9.4065e-01  8.3362e-01  3.4008e+00  2.4237e+00  2.0463e+00  2.5776e+00  1.1462e+00  1.1080e+00  1.4229e+00  1.0512e+00  6.9248e-01  4.8734e-01  1.7824e+00  1.6142e+00  1.5021e+00  4.4575e+00  4.1039e+00  3.4734e+00  3.5425e+00  1.7188e+00  4.4575e+00  3.7434e+00  6.7887e-01  9.2892e-01
  7.2000e+00  1.5908e+00  1.7069e+00  1.5936e-01 -8.0400e-01  6.3422e-01  4.7713e-01  9.3064e-01  7.1914e-01  3.7859e+00  2.2308e+00  2.0433e+00  2.5675e+00  1.0095e+00  1.0125e+00  1.3272e+00  9.7468e-01  6.3689e-01  5.0427e-01  1.6360e+00  1.5892e+00  1.4634e+00  4.9789e+00  4.6579e+00  3.9154e+00  3.9974e+00  1.6380e+00  4.2104e+00  3.5546e+00  7.1293e-01  9.3741e-01
  7.3000e+00  1.5829e+00  1.7071e+00  1.7906e-01 -6.9368e-01  9.1054e-01  5.0797e-01  1.2675e+00  6.3957e-01  4.2138e+00  2.4118e+00  2.0391e+00  2.5681e+00  1.0969e+00  1.0980e+00  1.4192e+00  1.0122e+00  6.9131e-01  5.4907e-01  1.4893e+00  1.5735e+00  1.4399e+00  5.4024e+00  5.1012e+00  4.3389e+00  4.4455e+00  1.7032e+00  4.2811e+00  3.5872e+00  8.9559e-01  9.6983e-01
  7.4000e+00  1.5747e+00  1.7016e+00  1.2930e-01 -8.0282e-01  7.8738e-01  4.5926e-01  1.0580e+00  4.0779e-01  4.6473e+00  1.8559e+00  2.0221e+00  2.5378e+00  7.5997e-01  7.9074e-01  1.0648e+00  7.1243e-01  5.1592e-01  3.8769e-01  1.0037e+00  1.5614e+00  1.4141e+00  5.7876e+00  5.6219e+00  4.6417e+00  4.8165e+00  1.5113e+00  3.7626e+00  3.3019e+00  9.9036e-01  9.7630e-01
  7.5000e+00  1.5735e+00  1.7018e+00  1.6231e-01 -5.9426e-01  8.9278e-01  4.9209e-01  1.3410e+00  4.9661e-01  4.6041e+00  2.2086e+00  2.0247e+00  2.5453e+00  9.0575e-01  9.4041e-01  1.1727e+00  8.1754e-01  6.0425e-01  4.5358e-01  9.7914e-01  1.5568e+00  1.4089e+00  5.8312e+00  5.5548e+00  4.6690e+00  4.8145e+00  1.6092e+00  4.0057e+00  3.4218e+00  1.0760e+00  9.9602e-01
  7.6000e+00  1.5675e+00  1.6982e+00  1.8300e-01 -6.1967e-01  8.5888e-01  4.7895e-01  1.3680e+00  5.2436e-01  4.7150e+00  2.2329e+00  2.0269e+00  2.5475e+00  9.5727e-01  9.6242e-01  1.1848e+00  8.5736e-01  6.1413e-01  4.7423e-01  9.5458e-01  1.5542e+00  1.4046e+00  6.1329e+00  5.8006e+00  4.8940e+00  4.9770e+00  1.5674e+00  3.9238e+00  3.3670e+00  1.1312e+00  9.9841e-01
  7.7000e+00  1.5629e+00  1.6966e+00  2.1488e-01 -5.7785e-01  8.6467e-01  4.6682e-01  1.4470e+00  7.4029e-01  4.7908e+00  2.4738e+00  2.0304e+00  2.5527e+00  1.1049e+00  1.0491e+00  1.2541e+00  9.6497e-01  6.6105e-01  5.1493e-01  9.1299e-01  1.5535e+00  1.4036e+00  6.4120e+00  5.9992e+00  5.1217e+00  5.1055e+00  1.4636e+00  3.7779e+00  3.3044e+00  1.1886e+00  1.0026e+00
  7.8000e+00  1.5501e+00  1.6877e+00  2.1381e-01 -8.2187e-01  6.9962e-01  3.9994e-01  1.3233e+00  5.9997e-01  5.1858e+00  2.2331e+00  2.0275e+00  2.5502e+00  1.1052e+00  9.7889e-01  1.2101e+00  9.2258e-01  6.0821e-01  4.6434e-01  9.0884e-01  1.5608e+00  1.4138e+00  6.9816e+00  6.6409e+00  5.5429e+00  5.5169e+00  1.3299e+00  3.5502e+00  3.2873e+00  1.4052e+00  1.0011e+00
  7.9000e+00  1.5420e+00  1.6833e+00  2.2289e-01 -8.3732e-01  6.7863e-01  3.6012e-01  1.3993e+00  5.7808e-01  5.4155e+00  2.2079e+00  2.0269e+00  2.5493e+00  1.1128e+00  9.7541e-01  1.2108e+00  9.3242e-01  6.1012e-01  4.7712e-01  8.3525e-01  1.5550e+00  1.4040e+00  7.3598e+00  7.0248e+00  5.8296e+00  5.7834e+00  1.3500e+00  3.5308e+00  3.2337e+00  1.7185e+00  1.0118e+00
