log_age	F1370	F1400	F1425	F1460	UV_1501	F1533	F1550	UV_1719	F1853	F1978
6.0	2.3670e+00	1.6504e+00	6.3260e-01	8.3876e-01	6.2764e-01	1.1875e+00	3.2910e+00	3.8752e-01	1.8253e-01	1.9133e+00
6.1	2.5132e+00	1.9058e+00	6.4533e-01	1.0110e+00	7.3269e-01	1.1141e+00	4.5760e+00	7.2063e-01	1.3092e-01	1.6512e+00
6.2	2.2384e+00	2.2095e+00	6.8676e-01	1.0813e+00	8.3553e-01	1.1088e+00	5.3889e+00	1.0190e+00	2.3403e-01	1.5267e+00
6.3	1.6495e+00	2.7976e+00	8.3360e-01	9.8971e-01	8.9824e-01	1.1072e+00	5.8085e+00	1.3985e+00	5.0811e-01	1.6085e+00
6.4	1.3982e+00	2.8722e+00	9.8570e-01	8.5569e-01	8.8445e-01	1.1237e+00	5.4443e+00	1.6909e+00	7.6432e-01	1.7610e+00
6.5	1.1623e+00	2.5898e+00	8.4373e-01	8.5238e-01	1.0288e+00	1.1982e+00	6.2863e+00	1.7932e+00	7.1165e-01	1.5161e+00
6.6	8.6527e-01	2.4309e+00	7.8720e-01	9.1361e-01	1.1798e+00	1.2212e+00	7.3420e+00	1.9367e+00	7.7275e-01	1.5014e+00
6.7	5.4557e-01	2.6207e+00	8.8643e-01	9.5581e-01	1.2747e+00	1.2254e+00	8.1820e+00	1.9824e+00	9.2096e-01	1.6436e+00
6.8	3.8216e-01	3.0912e+00	1.0809e+00	1.0964e+00	1.2674e+00	1.2213e+00	8.1656e+00	1.9822e+00	1.0793e+00	2.5260e+00
6.9	3.9022e-01	3.3816e+00	1.2913e+00	1.1656e+00	1.0557e+00	1.1289e+00	7.5771e+00	2.0896e+00	1.2874e+00	3.8367e+00
7.0	5.7156e-01	3.2039e+00	1.4470e+00	1.1993e+00	8.3070e-01	1.0617e+00	6.7388e+00	2.1822e+00	1.4970e+00	4.2379e+00
7.1	7.9813e-01	4.3777e+00	1.3349e+00	8.3708e-01	5.7783e-01	8.7509e-01	4.9441e+00	2.0734e+00	1.4985e+00	3.9921e+00
7.2	9.4297e-01	4.1100e+00	8.6375e-01	-1.7021e-01	3.2244e-01	4.9073e-01	2.4817e+00	1.9157e+00	1.2257e+00	2.9579e+00
7.3	1.0967e+00	3.5662e+00	7.2696e-01	-5.2703e-01	1.8294e-01	3.0858e-01	1.3754e+00	1.9696e+00	1.2272e+00	2.2069e+00
7.4	1.2455e+00	3.2914e+00	7.5182e-01	-4.7556e-01	1.4307e-01	2.4308e-01	1.1170e+00	2.0038e+00	1.2650e+00	2.0172e+00
7.5	1.3592e+00	2.8828e+00	8.0805e-01	-3.3694e-01	7.8332e-02	1.8420e-01	9.5819e-01	2.0293e+00	1.3012e+00	1.6737e+00
7.6	1.4272e+00	2.4955e+00	8.6605e-01	-2.3324e-01	-2.6550e-04	1.1225e-01	7.1677e-01	2.0375e+00	1.3261e+00	1.2507e+00
7.7	1.4408e+00	2.0871e+00	9.1517e-01	-1.3492e-01	-7.8545e-02	5.1456e-02	5.0010e-01	2.0338e+00	1.3393e+00	8.1503e-01
7.8	1.4046e+00	1.6194e+00	9.5236e-01	-7.8009e-02	-1.8786e-01	-7.7691e-03	2.7730e-01	2.0357e+00	1.3494e+00	2.3585e-01
7.9	1.3585e+00	1.1910e+00	9.8353e-01	-3.6616e-02	-2.9956e-01	-5.4635e-02	1.1523e-01	2.0688e+00	1.3724e+00	-2.7253e-01
