    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  7.1000e+00  1.6493e+00  1.7263e+00  6.0585e-03 -3.2381e-01 -7.3210e-02  1.4807e-01 -1.6040e-02 -6.5371e-01  1.6138e+00  1.9420e-01  2.0026e+00  2.4778e+00  1.6280e-02  9.3378e-03  1.2587e-02 -8.4238e-03  5.1190e-03  1.1724e-03  4.2592e-02  1.5374e+00  1.3618e+00  2.1003e+00  2.0893e+00  1.5769e+00  1.6413e+00  1.9440e-01  4.5648e-01  6.5759e-01  4.3364e-01  8.9456e-01
  7.2000e+00  1.6409e+00  1.7210e+00  5.1334e-03 -4.1761e-01 -1.2139e-01  1.7444e-01  5.6228e-03 -5.2744e-02  1.9257e+00  2.0183e-01  2.0020e+00  2.4774e+00  1.6018e-02  8.9279e-03  1.2013e-02  2.9539e-03  5.7164e-03  2.0629e-03  4.5722e-02  1.5374e+00  1.3617e+00  2.5236e+00  2.5226e+00  1.8678e+00  1.9445e+00  1.6501e-01  4.1592e-01  6.7358e-01  3.5108e-01  8.9695e-01
  7.3000e+00  1.6306e+00  1.7166e+00  5.3391e-03 -5.0089e-01 -1.2932e-01  2.2094e-01  1.0303e-02  8.2106e-02  2.3606e+00  2.4225e-01  2.0011e+00  2.4769e+00  1.9656e-02  1.1814e-02  1.4008e-02  5.4282e-03  6.9087e-03  2.0577e-03  5.5863e-02  1.5373e+00  1.3616e+00  3.0692e+00  3.0544e+00  2.2966e+00  2.3827e+00  1.9904e-01  5.0542e-01  8.0113e-01  3.4680e-01  9.0139e-01
  7.4000e+00  1.6209e+00  1.7108e+00  5.3702e-03 -6.0169e-01 -1.7690e-01  2.4811e-01  1.0705e-02  1.7504e-01  2.6933e+00  2.5009e-01  2.0002e+00  2.4762e+00  1.9971e-02  1.1484e-02  1.3617e-02  5.7042e-03  7.0749e-03  1.9624e-03  5.8443e-02  1.5372e+00  1.3615e+00  3.5537e+00  3.5338e+00  2.6449e+00  2.7318e+00  1.9885e-01  5.1524e-01  8.5266e-01  3.3293e-01  9.0609e-01
  7.5000e+00  1.6076e+00  1.7039e+00  5.6527e-03 -7.2268e-01 -2.1352e-01  2.9260e-01  1.1160e-02  1.7919e-01  3.1724e+00  2.7595e-01  1.9991e+00  2.4753e+00  2.2546e-02  1.2785e-02  1.4472e-02  6.5098e-03  7.2333e-03  1.9969e-03  6.5185e-02  1.5371e+00  1.3614e+00  4.2207e+00  4.1791e+00  3.1533e+00  3.2355e+00  2.2092e-01  5.7442e-01  9.6028e-01  3.2938e-01  9.1333e-01
  7.6000e+00  1.5898e+00  1.6948e+00  6.0163e-03 -8.8132e-01 -2.5432e-01  3.5309e-01  1.1657e-02  1.9351e-01  3.8097e+00  3.1020e-01  1.9978e+00  2.4744e+00  2.6047e-02  1.4751e-02  1.5811e-02  7.3484e-03  7.4241e-03  1.9870e-03  7.4204e-02  1.5370e+00  1.3613e+00  5.1039e+00  5.0279e+00  3.8369e+00  3.9064e+00  2.5146e-01  6.5141e-01  1.0965e+00  3.3135e-01  9.2269e-01
  7.7000e+00  1.5620e+00  1.6820e+00  6.5741e-03 -1.1159e+00 -2.7074e-01  4.7129e-01  1.4106e-02  2.2305e-01  4.8307e+00  3.8844e-01  1.9958e+00  2.4732e+00  3.2185e-02  1.9713e-02  1.9243e-02  9.7556e-03  8.0374e-03  2.0513e-03  9.3238e-02  1.5369e+00  1.3611e+00  6.4797e+00  6.3346e+00  4.9315e+00  4.9754e+00  2.9305e-01  7.6187e-01  1.2836e+00  3.6207e-01  9.3527e-01
  7.8000e+00  1.5510e+00  1.6758e+00  7.8257e-03 -1.1916e+00 -3.2341e-01  4.7545e-01  2.4730e-02  2.2241e-01  5.1230e+00  3.8654e-01  1.9954e+00  2.4736e+00  4.9318e-02  4.0093e-02  3.2969e-02  1.9682e-02  1.1824e-02  2.1701e-03  9.7992e-02  1.5366e+00  1.3607e+00  6.9800e+00  6.8041e+00  5.3207e+00  5.3341e+00  3.5814e-01  9.0318e-01  1.2779e+00  3.5002e-01  9.4265e-01
  7.9000e+00  1.5489e+00  1.6751e+00  1.1332e-02 -1.1084e+00 -3.2538e-01  4.3550e-01  5.7214e-02  2.1494e-01  5.0032e+00  3.6738e-01  1.9954e+00  2.4752e+00  9.2181e-02  8.5604e-02  6.4712e-02  3.9381e-02  1.8562e-02  2.3991e-03  1.0205e-01  1.5359e+00  1.3600e+00  7.0452e+00  6.7836e+00  5.4086e+00  5.3510e+00  4.0779e-01  9.9016e-01  1.1754e+00  3.2031e-01  9.5037e-01
  8.0000e+00  1.5403e+00  1.6680e+00  1.8997e-02 -1.0353e+00 -3.9751e-01  3.9173e-01  1.1434e-01  2.0646e-01  4.8470e+00  3.4604e-01  1.9948e+00  2.4774e+00  1.6173e-01  1.5445e-01  1.1096e-01  6.8618e-02  2.7751e-02  2.8193e-03  1.1033e-01  1.5351e+00  1.3591e+00  7.3761e+00  6.9480e+00  5.6264e+00  5.4344e+00  4.1329e-01  9.9387e-01  1.0510e+00  3.0439e-01  9.6640e-01
