    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  6.0000e+00  1.6778e+00  1.7395e+00  7.4090e-03 -9.3251e-02  4.2690e-02  2.8618e-02  3.8327e-02 -3.1690e-01  4.4808e-01  1.1441e-01  2.0051e+00  2.4804e+00  1.4555e-02  1.3856e-02  3.4896e-02  1.4641e-02 -8.9970e-03  6.0545e-03  2.5027e-02  1.5379e+00  1.3623e+00  5.5312e-01  5.7168e-01  3.9669e-01  4.3954e-01  5.5408e-02  1.3876e-01  2.0258e-01  3.5243e-01  8.8118e-01
  6.1000e+00  1.6798e+00  1.7405e+00  6.6644e-03 -7.3039e-02  4.1752e-02  2.4532e-02  3.1382e-02 -2.7600e-01  3.6337e-01  1.0060e-01  2.0051e+00  2.4802e+00  1.2879e-02  1.2306e-02  2.9176e-02  1.2328e-02 -7.6423e-03  5.6238e-03  2.0546e-02  1.5378e+00  1.3623e+00  4.5437e-01  4.6809e-01  3.2416e-01  3.5794e-01  4.2777e-02  1.0800e-01  1.5875e-01  3.3735e-01  8.8129e-01
  6.2000e+00  1.6796e+00  1.7403e+00  6.7456e-03 -7.5160e-02  4.2132e-02  2.5161e-02  3.1143e-02 -3.0682e-01  3.7055e-01  1.0166e-01  2.0051e+00  2.4802e+00  1.2960e-02  1.2391e-02  2.9463e-02  1.2578e-02 -6.5830e-03  5.7097e-03  2.0487e-02  1.5378e+00  1.3623e+00  4.6460e-01  4.7754e-01  3.3160e-01  3.6554e-01  4.2875e-02  1.0867e-01  1.6061e-01  3.3730e-01  8.8139e-01
  6.3000e+00  1.6748e+00  1.7285e+00  7.8242e-03 -9.4459e-02  3.1698e-02  3.7162e-02 -5.7410e-02 -1.7528e+00  2.7617e-01  1.4292e-01  2.0057e+00  2.4803e+00  2.0845e-02  1.3237e-02  3.6409e-02  5.6360e-02  3.0573e-03  1.8446e-02 -1.6503e-01  1.5380e+00  1.3611e+00  6.8893e-01  5.0971e-01  3.9414e-01  3.9112e-01  5.1833e-02  1.2829e-01  1.9095e-01  4.7366e-01  8.8034e-01
  6.4000e+00  1.6662e+00  1.7211e+00  1.2542e-02 -2.1325e-01 -3.0108e-02  4.3671e-02 -1.5974e-01 -2.9305e+00  5.2354e-01  2.7219e-01  2.0060e+00  2.4797e+00  9.4937e-03  5.2657e-03  6.0113e-02  5.4115e-02  1.5569e-02  1.0722e-02 -1.8756e-01  1.5387e+00  1.3608e+00  1.1124e+00  9.2976e-01  6.0389e-01  7.1790e-01  1.0262e-01  2.4699e-01  3.7357e-01  8.1480e-01  8.8166e-01
  6.5000e+00  1.6600e+00  1.7280e+00  8.0546e-03 -2.6541e-01  1.5624e-01  1.1936e-01 -1.6095e-01 -5.4991e+00  9.2326e-01  3.2827e-01  2.0058e+00  2.4805e+00 -8.8318e-03  8.7586e-03  1.0685e-01 -6.4350e-02 -1.2163e-01 -1.4348e-02 -1.1215e-01  1.5582e+00  1.3619e+00  1.5009e+00  1.3271e+00  1.0090e+00  1.1108e+00  2.5754e-01  6.3968e-01  7.7831e-01  1.0754e+00  8.8983e-01
  6.6000e+00  1.6592e+00  1.7374e+00  1.6396e-02 -2.2983e-01  4.1692e-01  1.2309e-01  2.9352e-02 -5.0413e+00  1.3385e+00  4.9366e-01  2.0062e+00  2.4869e+00  3.8817e-02  8.1154e-02  2.4472e-01  1.5698e-02  8.0469e-03  5.3247e-02  1.9869e-01  1.5671e+00  1.3704e+00  1.6238e+00  1.5156e+00  1.2671e+00  1.3962e+00  7.1455e-01  1.6105e+00  1.5895e+00  1.0556e+00  9.0178e-01
  6.7000e+00  1.6544e+00  1.7316e+00  2.6448e-02 -2.8674e-01  2.8629e-01  1.2662e-01  2.5387e-03 -4.4871e+00  1.3034e+00  6.4804e-01  2.0094e+00  2.4949e+00  1.8793e-01  1.9261e-01  3.6188e-01  8.8383e-02 -8.6771e-03  6.0889e-02  3.5256e-01  1.5736e+00  1.3957e+00  1.8261e+00  1.6407e+00  1.3371e+00  1.4212e+00  9.1188e-01  2.3333e+00  2.3365e+00  1.0718e+00  8.9976e-01
  6.8000e+00  1.6485e+00  1.7281e+00  6.0445e-02 -3.1170e-01  2.9817e-01  1.7769e-01  3.0241e-01 -1.7725e+00  1.5768e+00  1.2991e+00  2.0170e+00  2.5216e+00  5.8183e-01  5.2969e-01  7.6784e-01  4.6034e-01  3.0907e-01  1.8062e-01  8.6392e-01  1.6026e+00  1.4637e+00  2.0242e+00  1.8568e+00  1.5133e+00  1.5964e+00  1.3719e+00  3.6318e+00  3.4114e+00  8.1636e-01  9.0242e-01
  6.9000e+00  1.6290e+00  1.7189e+00  8.0237e-02 -5.1166e-01  2.7242e-01  2.5345e-01  4.5874e-01  2.2255e-02  2.3798e+00  1.6486e+00  2.0202e+00  2.5331e+00  7.2893e-01  6.5903e-01  9.1758e-01  6.0153e-01  4.1776e-01  1.8087e-01  1.0459e+00  1.6213e+00  1.4997e+00  2.8957e+00  2.7717e+00  2.1962e+00  2.3408e+00  1.4037e+00  3.8216e+00  3.5698e+00  7.0673e-01  9.0831e-01
  7.0000e+00  1.6066e+00  1.7100e+00  9.0209e-02 -7.6033e-01  3.1274e-01  3.3340e-01  5.1845e-01  6.3361e-01  3.3000e+00  1.8004e+00  2.0224e+00  2.5366e+00  7.1720e-01  6.8611e-01  9.6125e-01  6.3696e-01  4.2739e-01  1.7283e-01  1.1039e+00  1.6255e+00  1.5037e+00  4.0016e+00  3.8742e+00  3.0721e+00  3.2634e+00  1.4569e+00  3.9361e+00  3.6205e+00  7.1200e-01  9.1633e-01
  7.1000e+00  1.5976e+00  1.7088e+00  1.2214e-01 -8.2796e-01  5.2459e-01  3.9819e-01  7.1954e-01  7.5516e-01  3.6993e+00  2.0868e+00  2.0297e+00  2.5508e+00  8.5204e-01  8.3832e-01  1.1660e+00  7.8708e-01  5.1868e-01  2.9553e-01  1.3612e+00  1.6173e+00  1.4959e+00  4.5232e+00  4.3419e+00  3.5383e+00  3.7117e+00  1.5536e+00  4.1099e+00  3.6661e+00  7.6090e-01  9.2753e-01
  7.2000e+00  1.5891e+00  1.7063e+00  1.3431e-01 -9.0922e-01  6.4813e-01  4.3143e-01  7.8641e-01  6.2903e-01  4.0462e+00  2.0371e+00  2.0305e+00  2.5506e+00  8.2064e-01  8.2983e-01  1.1737e+00  7.8875e-01  5.1548e-01  3.3988e-01  1.3678e+00  1.6032e+00  1.4763e+00  5.0128e+00  4.8072e+00  3.9602e+00  4.1195e+00  1.5275e+00  3.9951e+00  3.5514e+00  8.3094e-01  9.3658e-01
  7.3000e+00  1.5819e+00  1.7037e+00  1.5060e-01 -9.5916e-01  7.5932e-01  4.5750e-01  8.9025e-01  4.9493e-01  4.2843e+00  2.0431e+00  2.0328e+00  2.5542e+00  8.4411e-01  8.5862e-01  1.2242e+00  8.2805e-01  5.3805e-01  4.0211e-01  1.4189e+00  1.5922e+00  1.4619e+00  5.4241e+00  5.1711e+00  4.3089e+00  4.4353e+00  1.5379e+00  3.9637e+00  3.4867e+00  9.0884e-01  9.4533e-01
  7.4000e+00  1.5756e+00  1.7015e+00  1.7120e-01 -9.7052e-01  8.5032e-01  4.6496e-01  1.0106e+00  4.5385e-01  4.4835e+00  2.0722e+00  2.0341e+00  2.5570e+00  8.9921e-01  8.9095e-01  1.2665e+00  8.7380e-01  5.6146e-01  4.5158e-01  1.3969e+00  1.5817e+00  1.4466e+00  5.7665e+00  5.4728e+00  4.6046e+00  4.6963e+00  1.5340e+00  3.9171e+00  3.4291e+00  9.9756e-01  9.5482e-01
  7.5000e+00  1.5678e+00  1.6977e+00  1.9142e-01 -9.9112e-01  8.9199e-01  4.5892e-01  1.1184e+00  3.9746e-01  4.6909e+00  2.1018e+00  2.0354e+00  2.5600e+00  9.6639e-01  9.2789e-01  1.3093e+00  9.2168e-01  5.8490e-01  4.9449e-01  1.3756e+00  1.5731e+00  1.4338e+00  6.1511e+00  5.8208e+00  4.9126e+00  4.9666e+00  1.5295e+00  3.8850e+00  3.4013e+00  1.1119e+00  9.6442e-01
  7.6000e+00  1.5591e+00  1.6925e+00  1.8986e-01 -1.0375e+00  8.6123e-01  4.2057e-01  1.1378e+00  3.0110e-01  4.9647e+00  1.9488e+00  2.0327e+00  2.5555e+00  9.2903e-01  8.7568e-01  1.2470e+00  8.8210e-01  5.5630e-01  4.7916e-01  1.2541e+00  1.5668e+00  1.4229e+00  6.5429e+00  6.2320e+00  5.2177e+00  5.2629e+00  1.4784e+00  3.7372e+00  3.3152e+00  1.2734e+00  9.7257e-01
  7.7000e+00  1.5512e+00  1.6883e+00  2.0565e-01 -1.0316e+00  8.6824e-01  3.8281e-01  1.2358e+00  2.8036e-01  5.2027e+00  1.9684e+00  2.0315e+00  2.5555e+00  9.8980e-01  8.9097e-01  1.2603e+00  9.0809e-01  5.6776e-01  4.9413e-01  1.1617e+00  1.5614e+00  1.4142e+00  6.9053e+00  6.5920e+00  5.5045e+00  5.5286e+00  1.4426e+00  3.6530e+00  3.2717e+00  1.5418e+00  9.8407e-01
