log_age	F1370	F1400	F1425	F1460	UV_1501	F1533	F1550	UV_1719	F1853	F1978
6.0	1.3808e+00	8.0937e-01	3.8543e-01	3.9857e-01	3.3114e-01	1.7740e-01	1.1064e+00	1.7084e-01	1.1011e-01	2.3220e+00
6.1	1.5540e+00	8.3246e-01	3.8499e-01	4.5160e-01	3.3962e-01	2.0360e-01	1.5689e+00	1.7110e-01	9.0912e-02	2.1692e+00
6.2	1.5360e+00	9.4306e-01	4.1067e-01	4.9893e-01	4.0584e-01	2.0070e-01	2.4146e+00	2.6802e-01	8.3743e-02	2.0096e+00
6.3	1.2519e+00	1.2953e+00	5.3839e-01	5.0466e-01	4.7829e-01	2.8288e-01	3.2839e+00	6.1156e-01	2.6033e-01	1.9045e+00
6.4	1.0274e+00	1.4525e+00	5.9881e-01	4.7214e-01	5.0533e-01	3.4948e-01	3.3865e+00	7.7776e-01	3.3756e-01	1.9722e+00
6.5	8.8506e-01	1.1944e+00	5.5172e-01	4.4247e-01	5.5539e-01	3.9155e-01	3.6855e+00	7.8064e-01	2.7015e-01	1.7794e+00
6.6	7.2062e-01	1.0040e+00	5.7511e-01	3.9952e-01	5.8425e-01	4.6425e-01	4.0810e+00	9.7007e-01	3.4571e-01	1.6079e+00
6.7	5.2230e-01	8.1268e-01	6.4966e-01	3.7668e-01	6.2088e-01	6.0652e-01	5.1332e+00	1.2935e+00	4.8795e-01	1.3436e+00
6.8	3.4091e-01	8.5869e-01	7.4783e-01	4.1910e-01	6.3656e-01	7.3464e-01	5.9255e+00	1.4520e+00	6.0090e-01	1.4242e+00
6.9	2.2866e-01	1.2407e+00	9.4418e-01	4.6556e-01	5.5562e-01	7.7144e-01	5.8221e+00	1.5212e+00	7.5061e-01	1.6991e+00
7.0	2.5948e-01	1.7298e+00	1.0988e+00	5.1045e-01	4.3263e-01	7.3041e-01	5.1286e+00	1.4965e+00	9.1924e-01	2.1484e+00
7.1	3.9884e-01	2.2408e+00	1.1690e+00	5.7131e-01	3.5790e-01	6.8940e-01	4.3828e+00	1.4658e+00	1.1124e+00	2.5675e+00
7.2	5.3613e-01	2.5420e+00	1.0364e+00	4.8952e-01	2.7016e-01	5.8887e-01	3.0693e+00	1.3493e+00	1.1664e+00	2.7262e+00
7.3	6.3252e-01	2.2701e+00	5.9532e-01	1.0075e-03	2.1848e-01	3.1955e-01	1.5848e+00	1.3049e+00	9.0851e-01	1.8608e+00
7.4	6.7671e-01	2.1264e+00	4.0304e-01	-2.0250e-01	2.1837e-01	2.0162e-01	1.0423e+00	1.3145e+00	7.8145e-01	1.6541e+00
7.5	7.4611e-01	1.9212e+00	4.1281e-01	-1.6846e-01	1.8853e-01	1.5938e-01	8.8587e-01	1.3472e+00	7.9255e-01	1.4279e+00
7.6	8.1311e-01	1.7130e+00	4.3913e-01	-1.0974e-01	1.4998e-01	1.1119e-01	7.2783e-01	1.3465e+00	7.9435e-01	1.1963e+00
7.7	8.6553e-01	1.5144e+00	4.6823e-01	-5.5996e-02	1.0661e-01	6.3873e-02	5.7663e-01	1.3293e+00	7.7973e-01	9.5361e-01
7.8	9.0732e-01	1.3141e+00	5.1409e-01	-8.4740e-03	5.0167e-02	2.0489e-02	3.9750e-01	1.3249e+00	7.8458e-01	6.3815e-01
7.9	9.2993e-01	1.1087e+00	5.6135e-01	2.8756e-02	-1.4205e-02	-1.4490e-02	2.4841e-01	1.3445e+00	7.7181e-01	2.8913e-01
8.0	9.3680e-01	8.7771e-01	6.2611e-01	8.4640e-02	-9.0986e-02	-5.1583e-02	9.5053e-02	1.3811e+00	7.7918e-01	-1.1909e-01
8.1	9.2307e-01	6.6275e-01	6.9117e-01	1.4048e-01	-1.6445e-01	-8.0928e-02	-1.3281e-02	1.4215e+00	7.9220e-01	-4.8816e-01
8.2	8.8132e-01	4.3024e-01	7.6437e-01	1.7820e-01	-2.3682e-01	-1.1143e-01	-1.3482e-01	1.4625e+00	8.2183e-01	-8.5671e-01
8.3	8.5123e-01	2.6280e-01	8.3030e-01	2.3683e-01	-3.1106e-01	-1.4097e-01	-1.9559e-01	1.5152e+00	8.5863e-01	-1.1542e+00
8.4	8.1681e-01	1.0442e-01	9.0277e-01	3.2378e-01	-4.0197e-01	-1.8447e-01	-2.6389e-01	1.5769e+00	9.0982e-01	-1.4556e+00
8.5	8.1107e-01	1.3921e-01	9.3839e-01	4.6604e-01	-4.7398e-01	-2.3338e-01	-2.8237e-01	1.6308e+00	9.5704e-01	-1.5904e+00
8.6	8.5550e-01	2.8740e-01	9.5321e-01	6.9227e-01	-5.3986e-01	-2.9663e-01	-2.9336e-01	1.6941e+00	1.0112e+00	-1.7190e+00
8.7	9.6961e-01	7.7687e-01	9.1783e-01	1.0720e+00	-5.7506e-01	-3.9515e-01	-2.6988e-01	1.7708e+00	1.0742e+00	-1.7181e+00
8.8	1.1882e+00	1.5391e+00	8.6410e-01	1.7125e+00	-6.2199e-01	-5.5013e-01	-2.8700e-01	1.8877e+00	1.1651e+00	-1.8037e+00
8.9	1.5701e+00	2.8289e+00	7.5151e-01	2.6255e+00	-6.4728e-01	-8.6112e-01	-4.8183e-01	2.0531e+00	1.2647e+00	-1.8813e+00
9.0	2.0352e+00	4.2899e+00	6.3620e-01	3.5703e+00	-6.6118e-01	-1.5544e+00	-1.4002e+00	2.2860e+00	1.3784e+00	-1.9433e+00
9.1	2.2782e+00	4.9994e+00	5.8697e-01	3.9501e+00	-6.2888e-01	-2.8953e+00	-3.8797e+00	2.5475e+00	1.5117e+00	-1.9115e+00
9.2	1.4834e+00	2.4995e+00	7.7228e-01	2.4126e+00	-5.2733e-01	-3.4366e+00	-5.7305e+00	2.6751e+00	1.6818e+00	-1.7569e+00
9.3	1.1382e+00	1.5551e+00	8.3550e-01	1.6263e+00	-5.0884e-01	-1.8315e+00	-2.8752e+00	2.6525e+00	2.0330e+00	-1.2122e+00
9.4	1.3003e+00	2.0715e+00	7.8772e-01	2.0779e+00	-5.5503e-01	-1.0387e+00	-1.1250e+00	2.5906e+00	2.6017e+00	-2.3000e-01
9.5	1.4156e+00	2.8805e+00	6.6774e-01	2.3462e+00	-4.2243e-01	-1.3947e+00	-1.4620e+00	3.1996e+00	3.5717e+00	1.1212e+00
9.6	1.5739e+00	3.5683e+00	5.1664e-01	2.8393e+00	-4.3025e-01	-2.1303e+00	-2.7713e+00	4.4124e+00	4.4674e+00	2.3324e+00
9.7	8.7473e-01	1.7937e+00	5.1381e-01	1.1663e+00	-7.3659e-02	-1.0083e+00	-1.0943e+00	5.6317e+00	5.1398e+00	3.2651e+00
9.8	1.0018e+00	2.0187e+00	5.5776e-01	1.4372e+00	-2.0536e-01	-7.1297e-01	-4.1945e-01	7.3329e+00	6.0032e+00	4.6853e+00
9.9	5.4225e-01	1.0617e+00	3.2568e-01	7.3753e-01	-9.5959e-04	-1.5353e+00	-2.5157e+00	1.0813e+01	7.2352e+00	5.9782e+00
10.0	5.5748e-01	8.0987e-01	5.5074e-01	1.4685e-01	8.6806e-02	1.6890e-01	8.8627e-01	1.0046e+01	7.6920e+00	7.3897e+00
