    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  6.0000e+00  1.6736e+00  1.7370e+00  7.1269e-03 -1.3524e-01  6.3466e-03  4.3366e-02  3.1608e-02 -5.2065e-01  6.1517e-01  1.0743e-01  2.0051e+00  2.4803e+00  1.7814e-02  1.2139e-02  2.6386e-02  9.7109e-03 -1.5242e-02  4.3133e-03  2.4458e-02  1.5379e+00  1.3623e+00  7.8437e-01  8.0777e-01  5.6220e-01  6.0948e-01  5.6416e-02  1.4820e-01  2.4428e-01  3.6431e-01  8.8071e-01
  6.1000e+00  1.6763e+00  1.7385e+00  6.1311e-03 -1.0738e-01  1.0103e-02  3.7216e-02  2.6017e-02 -4.6252e-01  4.9494e-01  1.0701e-01  2.0049e+00  2.4798e+00  1.1555e-02  6.9553e-03  2.3272e-02  7.4043e-03 -1.4608e-02  2.9329e-03  2.4643e-02  1.5378e+00  1.3622e+00  6.3417e-01  6.5210e-01  4.4977e-01  4.9442e-01  4.8694e-02  1.2462e-01  2.0243e-01  3.4702e-01  8.8078e-01
  6.2000e+00  1.6768e+00  1.7386e+00  5.6169e-03 -1.0057e-01  1.1352e-02  3.6621e-02  2.2877e-02 -4.6292e-01  4.6436e-01  1.1296e-01  2.0048e+00  2.4795e+00  8.3148e-03  4.6054e-03  2.2319e-02  8.2144e-03 -1.2388e-02  3.2263e-03  2.3938e-02  1.5379e+00  1.3621e+00  6.0615e-01  6.1360e-01  4.2840e-01  4.7007e-01  4.9685e-02  1.2436e-01  1.9871e-01  3.4116e-01  8.8134e-01
  6.3000e+00  1.6742e+00  1.7364e+00  6.0934e-03 -1.1983e-01  1.7835e-02  6.1094e-02  7.9985e-03 -9.4886e-01  5.1960e-01  1.7617e-01  2.0045e+00  2.4789e+00  3.1039e-03  6.4099e-04  2.4885e-02  1.7042e-02 -8.4560e-03  5.0233e-03 -1.4223e-02  1.5382e+00  1.3616e+00  7.5661e-01  7.0361e-01  5.2905e-01  5.6301e-01  7.2486e-02  1.7184e-01  2.6277e-01  3.7811e-01  8.8238e-01
  6.4000e+00  1.6656e+00  1.7351e+00  2.8498e-03 -1.9789e-01  1.0821e-01  1.0261e-01 -6.2528e-02 -2.5570e+00  9.4760e-01  2.8439e-01  2.0042e+00  2.4788e+00 -8.2940e-03 -8.6184e-04  4.4408e-02 -2.0511e-02 -8.8955e-04 -5.8166e-03  5.9905e-02  1.5635e+00  1.3616e+00  1.2342e+00  1.1795e+00  9.2054e-01  1.0184e+00  2.1061e-01  4.6261e-01  6.1219e-01  6.1331e-01  8.8841e-01
  6.5000e+00  1.6617e+00  1.7373e+00 -2.5430e-03 -1.8741e-01  2.6459e-01  1.2569e-01  9.8534e-03 -3.4160e+00  1.2951e+00  3.4151e-01  2.0034e+00  2.4805e+00  6.2766e-03  3.6652e-02  9.8145e-02 -1.2726e-02  2.6605e-02  1.1575e-02  1.5417e-01  1.6013e+00  1.3625e+00  1.4405e+00  1.4513e+00  1.1628e+00  1.3134e+00  4.7210e-01  1.0061e+00  1.0768e+00  6.7736e-01  8.9879e-01
  6.6000e+00  1.6644e+00  1.7368e+00  4.3866e-03 -1.2545e-01  2.8233e-01  1.2222e-01 -2.2113e-02 -4.7670e+00  1.0098e+00  3.8201e-01  2.0060e+00  2.4853e+00  8.3518e-02  1.0412e-01  1.5797e-01 -1.0280e-02  9.0139e-02  3.3947e-02  1.7392e-01  1.5945e+00  1.3660e+00  1.3486e+00  1.2281e+00  1.0375e+00  1.1054e+00  6.1422e-01  1.4220e+00  1.3554e+00  8.1625e-01  8.9801e-01
  6.7000e+00  1.6674e+00  1.7382e+00  4.1017e-02 -1.7644e-02  3.7529e-01  1.4030e-01  2.3407e-01 -3.9242e+00  7.8213e-01  9.1670e-01  2.0163e+00  2.5086e+00  4.0632e-01  4.4270e-01  5.2345e-01  3.1966e-01  3.2421e-01  2.1828e-01  5.3404e-01  1.5740e+00  1.3867e+00  1.2707e+00  1.0031e+00  9.4828e-01  9.4166e-01  1.3206e+00  3.2048e+00  2.6511e+00  7.9237e-01  9.0448e-01
  6.8000e+00  1.6640e+00  1.7362e+00  8.3943e-02 -2.6120e-02  4.3119e-01  1.8557e-01  4.4855e-01 -2.8401e+00  8.0334e-01  1.4285e+00  2.0289e+00  2.5346e+00  7.2306e-01  7.5477e-01  8.7772e-01  6.3739e-01  5.2058e-01  3.9842e-01  9.7281e-01  1.5650e+00  1.4149e+00  1.4517e+00  1.0939e+00  1.0716e+00  1.0251e+00  1.6554e+00  4.1011e+00  3.2961e+00  8.3035e-01  9.0775e-01
  6.9000e+00  1.6586e+00  1.7344e+00  1.6329e-01 -3.3253e-02  6.1729e-01  2.9043e-01  9.5538e-01 -6.1463e-01  9.3111e-01  2.2705e+00  2.0551e+00  2.5874e+00  1.3185e+00  1.2998e+00  1.4812e+00  1.2132e+00  8.2695e-01  6.4573e-01  1.7638e+00  1.5878e+00  1.4719e+00  1.6451e+00  1.1957e+00  1.2519e+00  1.1428e+00  1.8932e+00  4.7950e+00  3.7651e+00  5.6891e-01  9.1012e-01
