log_age	F1370	F1400	F1425	F1460	UV_1501	F1533	F1550	UV_1719	F1853	F1978
6.0	2.6872e+00	2.2793e+00	6.7389e-01	1.1497e+00	9.2127e-01	2.4285e+00	5.2481e+00	1.0361e+00	1.9498e-01	1.4334e+00
6.1	2.5832e+00	2.3353e+00	7.2629e-01	1.3850e+00	1.1311e+00	2.1239e+00	6.2499e+00	1.4773e+00	2.9239e-01	1.2256e+00
6.2	2.1619e+00	1.6504e+00	7.4712e-01	1.4094e+00	1.2594e+00	1.9324e+00	6.7902e+00	1.6596e+00	4.6635e-01	1.1803e+00
6.3	1.6506e+00	1.6825e+00	9.1306e-01	1.4000e+00	1.2544e+00	1.7054e+00	7.0527e+00	1.8949e+00	6.9719e-01	1.5104e+00
6.4	1.3327e+00	2.8434e+00	1.0333e+00	1.1928e+00	1.2754e+00	1.5830e+00	6.5655e+00	1.9747e+00	8.7309e-01	1.6503e+00
6.5	1.1259e+00	1.8073e+00	9.8706e-01	1.0517e+00	1.3964e+00	1.5169e+00	6.7679e+00	2.1429e+00	1.0562e+00	1.4511e+00
6.6	8.4861e-01	1.7075e+00	9.4302e-01	1.1565e+00	1.5845e+00	1.5262e+00	7.7139e+00	2.1241e+00	1.0789e+00	1.4494e+00
6.7	6.2899e-01	2.2692e+00	1.1979e+00	1.3695e+00	1.5167e+00	1.4229e+00	8.3870e+00	2.2695e+00	1.2516e+00	2.0632e+00
6.8	5.2693e-01	2.1085e+00	1.4508e+00	1.4364e+00	1.3765e+00	1.3058e+00	8.2804e+00	2.3525e+00	1.4395e+00	2.8627e+00
6.9	6.3788e-01	4.4949e+00	1.6992e+00	1.4988e+00	1.0924e+00	1.2018e+00	7.6578e+00	2.6031e+00	1.6008e+00	3.6229e+00
7.0	8.5281e-01	5.4016e+00	1.5389e+00	9.7890e-01	7.5640e-01	9.9705e-01	5.8873e+00	2.5040e+00	1.5778e+00	3.7280e+00
7.1	1.0499e+00	5.0769e+00	1.1524e+00	-4.5124e-02	4.1301e-01	6.5902e-01	3.4076e+00	2.2924e+00	1.4380e+00	3.1506e+00
7.2	1.2365e+00	4.7012e+00	9.4502e-01	-7.1516e-01	2.1041e-01	4.0659e-01	1.7420e+00	2.2692e+00	1.4214e+00	2.5091e+00
7.3	1.4205e+00	4.1597e+00	1.0071e+00	-6.3353e-01	1.1738e-01	3.4378e-01	1.3919e+00	2.3732e+00	1.5637e+00	2.1003e+00
7.4	1.5490e+00	3.7603e+00	1.0523e+00	-5.4795e-01	6.6803e-02	2.5874e-01	1.1172e+00	2.3986e+00	1.6119e+00	1.8688e+00
7.5	1.6077e+00	3.2564e+00	1.1139e+00	-3.8684e-01	-1.3396e-02	1.9179e-01	9.3296e-01	2.4215e+00	1.6600e+00	1.4377e+00
