    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  6.0000e+00  1.6723e+00  1.7362e+00  6.8206e-03 -1.5126e-01 -1.1622e-02  4.8524e-02  2.4250e-02 -6.1336e-01  6.6773e-01  1.0260e-01  2.0051e+00  2.4803e+00  1.7613e-02  1.0986e-02  2.2269e-02  7.7497e-03 -1.7587e-02  3.5895e-03  2.4618e-02  1.5379e+00  1.3623e+00  8.6310e-01  8.9715e-01  6.1500e-01  6.6558e-01  5.2610e-02  1.4236e-01  2.5051e-01  3.6203e-01  8.8100e-01
  6.1000e+00  1.6755e+00  1.7379e+00  6.0010e-03 -1.1868e-01 -4.5420e-03  3.9747e-02  1.9432e-02 -6.6390e-01  5.2818e-01  9.4045e-02  2.0052e+00  2.4801e+00  1.4071e-02  8.7130e-03  1.8831e-02  6.1968e-03 -1.9476e-02  3.1282e-03  2.1493e-02  1.5378e+00  1.3623e+00  6.9204e-01  7.1879e-01  4.8818e-01  5.2967e-01  4.0086e-02  1.0889e-01  1.9398e-01  3.5039e-01  8.8031e-01
  6.2000e+00  1.6767e+00  1.7387e+00  5.2858e-03 -1.0459e-01  3.4640e-03  3.8077e-02  1.6282e-02 -5.8884e-01  4.8058e-01  9.8800e-02  2.0050e+00  2.4797e+00  1.0404e-02  6.5592e-03  1.7402e-02  5.9598e-03 -1.8441e-02  2.8915e-03  2.2230e-02  1.5378e+00  1.3622e+00  6.2472e-01  6.4615e-01  4.4274e-01  4.8396e-01  4.1381e-02  1.0863e-01  1.8608e-01  3.4061e-01  8.8092e-01
  6.3000e+00  1.6719e+00  1.7381e+00  3.8382e-03 -1.3651e-01  4.3151e-02  7.0713e-02  1.5890e-02 -6.1967e-01  7.3409e-01  2.0222e-01  2.0045e+00  2.4791e+00  1.6741e-03  9.4982e-03  2.7672e-02  1.4943e-02 -8.3811e-03  6.2392e-03  4.2719e-02  1.5381e+00  1.3621e+00  8.8039e-01  8.8780e-01  6.6107e-01  7.3997e-01  1.3864e-01  3.2939e-01  4.2746e-01  3.7019e-01  8.8469e-01
  6.4000e+00  1.6627e+00  1.7403e+00  2.6751e-04 -5.2388e-02  2.9393e-01  1.3120e-01  2.2403e-01 -1.7018e+00  1.4110e+00  6.6149e-01  2.0063e+00  2.4865e+00  1.0153e-01  1.8467e-01  2.0410e-01  1.4442e-01  1.3428e-01 -7.8525e-02  1.7244e-01  1.5789e+00  1.3661e+00  1.3956e+00  1.4030e+00  1.1866e+00  1.3394e+00  9.0681e-01  2.0877e+00  1.8716e+00  5.6924e-01  9.0412e-01
  6.5000e+00  1.6642e+00  1.7392e+00  4.5713e-04 -4.2299e-02  2.9950e-01  1.2247e-01  1.8064e-01 -3.2995e+00  1.2292e+00  5.6027e-01  2.0061e+00  2.4870e+00  1.1589e-01  1.8051e-01  2.0041e-01  1.0926e-01  1.3631e-01 -1.1693e-01  1.9647e-01  1.6204e+00  1.3664e+00  1.2965e+00  1.2800e+00  1.0877e+00  1.1940e+00  8.8466e-01  2.0437e+00  1.8219e+00  6.1217e-01  9.0216e-01
  6.6000e+00  1.6624e+00  1.7367e+00  7.0056e-03 -1.0384e-01  2.4812e-01  1.0814e-01  6.3749e-02 -3.7352e+00  1.1380e+00  3.4797e-01  2.0048e+00  2.4845e+00  8.9488e-02  1.0080e-01  1.4911e-01  4.0060e-02  8.3365e-02 -3.3269e-02  1.0939e-01  1.6010e+00  1.3652e+00  1.3913e+00  1.3419e+00  1.1429e+00  1.2069e+00  6.8402e-01  1.5296e+00  1.4473e+00  7.4310e-01  8.9968e-01
  6.7000e+00  1.6618e+00  1.7368e+00  3.7006e-02 -5.3272e-02  2.9706e-01  1.2838e-01  1.9380e-01 -3.1779e+00  1.0508e+00  7.2201e-01  2.0107e+00  2.4974e+00  2.8095e-01  3.2179e-01  3.6447e-01  2.3017e-01  2.3971e-01  1.2741e-01  2.6756e-01  1.5657e+00  1.3752e+00  1.4539e+00  1.3134e+00  1.1808e+00  1.2017e+00  1.1306e+00  2.7068e+00  2.2986e+00  9.1432e-01  9.0461e-01
  6.8000e+00  1.6632e+00  1.7398e+00  1.1121e-01  1.6147e-01  5.6594e-01  2.1982e-01  6.7042e-01 -2.8103e+00  8.1471e-01  1.7660e+00  2.0268e+00  2.5337e+00  7.9661e-01  9.1985e-01  9.2088e-01  7.4122e-01  6.1326e-01  4.2532e-01  7.0782e-01  1.5503e+00  1.3965e+00  1.4507e+00  1.0673e+00  1.1733e+00  1.0916e+00  1.7331e+00  4.2950e+00  3.4036e+00  1.1650e+00  9.2010e-01
  6.9000e+00  1.6618e+00  1.7384e+00  1.8640e-01  1.2443e-01  6.6157e-01  2.9253e-01  9.5836e-01 -1.4472e+00  6.4223e-01  2.2208e+00  2.0468e+00  2.5688e+00  1.1972e+00  1.2947e+00  1.3095e+00  1.1412e+00  8.1495e-01  6.1709e-01  1.2020e+00  1.5546e+00  1.4170e+00  1.5481e+00  1.0021e+00  1.2078e+00  1.0175e+00  1.8033e+00  4.5731e+00  3.5543e+00  8.8241e-01  9.1654e-01
  7.0000e+00  1.6537e+00  1.7359e+00  2.3568e-01  9.1322e-02  7.5166e-01  3.6928e-01  1.2315e+00  1.2218e-02  1.1249e+00  2.5489e+00  2.0566e+00  2.5861e+00  1.3990e+00  1.4979e+00  1.4910e+00  1.3140e+00  9.0610e-01  6.9244e-01  1.3940e+00  1.5559e+00  1.4230e+00  1.9768e+00  1.4374e+00  1.5483e+00  1.3788e+00  1.7893e+00  4.5868e+00  3.5524e+00  6.0450e-01  9.2333e-01
  7.1000e+00  1.6373e+00  1.7302e+00  2.5303e-01 -2.3945e-02  7.7982e-01  4.3537e-01  1.2983e+00  7.5435e-01  1.8661e+00  2.6215e+00  2.0542e+00  2.5824e+00  1.3839e+00  1.4799e+00  1.4640e+00  1.2936e+00  8.8704e-01  6.7253e-01  1.3200e+00  1.5532e+00  1.4169e+00  2.8358e+00  2.3000e+00  2.2378e+00  2.1049e+00  1.7054e+00  4.4069e+00  3.4449e+00  4.9864e-01  9.3385e-01
  7.2000e+00  1.6109e+00  1.7210e+00  2.5950e-01 -1.8641e-01  8.2898e-01  5.4790e-01  1.3167e+00  1.0747e+00  2.8671e+00  2.7230e+00  2.0468e+00  2.5708e+00  1.2985e+00  1.4135e+00  1.3788e+00  1.2160e+00  8.4705e-01  6.2340e-01  1.1190e+00  1.5485e+00  1.4056e+00  4.2108e+00  3.6165e+00  3.3515e+00  3.2263e+00  1.6094e+00  4.1973e+00  3.3454e+00  5.3931e-01  9.5241e-01
  7.3000e+00  1.5920e+00  1.7118e+00  1.5688e-01 -4.5913e-01  5.8888e-01  4.5553e-01  9.1807e-01  7.0167e-01  3.8320e+00  1.8782e+00  2.0260e+00  2.5325e+00  7.9471e-01  8.8211e-01  9.1702e-01  7.7798e-01  5.6300e-01  4.0890e-01  7.1380e-01  1.5440e+00  1.3885e+00  5.0583e+00  4.7212e+00  4.0934e+00  4.1075e+00  1.4010e+00  3.5702e+00  3.0170e+00  7.0806e-01  9.5715e-01
  7.4000e+00  1.5818e+00  1.7076e+00  1.3585e-01 -5.2139e-01  5.9544e-01  4.2699e-01  9.0264e-01  5.5732e-01  4.3249e+00  1.6896e+00  2.0207e+00  2.5254e+00  7.3086e-01  7.6609e-01  8.2692e-01  6.7318e-01  4.9596e-01  3.5404e-01  6.0571e-01  1.5427e+00  1.3839e+00  5.5346e+00  5.2561e+00  4.5188e+00  4.5576e+00  1.3598e+00  3.3949e+00  2.9550e+00  8.3708e-01  9.6716e-01
  7.5000e+00  1.5717e+00  1.7016e+00  1.1781e-01 -6.0542e-01  5.4165e-01  4.0513e-01  8.8398e-01  4.5200e-01  4.7237e+00  1.5247e+00  2.0149e+00  2.5173e+00  6.5223e-01  6.6318e-01  7.3171e-01  5.7003e-01  4.3416e-01  2.9675e-01  4.8061e-01  1.5413e+00  1.3790e+00  5.9928e+00  5.7695e+00  4.8822e+00  4.9358e+00  1.3063e+00  3.2098e+00  2.8829e+00  9.1493e-01  9.7702e-01
