log_age	F1370	F1400	F1425	F1460	UV_1501	F1533	F1550	UV_1719	F1853	F1978
6.0	2.5120e+00	1.9530e+00	6.5613e-01	1.0034e+00	7.5171e-01	1.9577e+00	4.2564e+00	6.5228e-01	2.0381e-01	1.7217e+00
6.1	2.5832e+00	2.3118e+00	6.5340e-01	1.2205e+00	9.0013e-01	1.8675e+00	5.4971e+00	1.1097e+00	1.8906e-01	1.4531e+00
6.2	2.2260e+00	2.6289e+00	7.1545e-01	1.2866e+00	1.0299e+00	1.7662e+00	6.1845e+00	1.3698e+00	3.3971e-01	1.3797e+00
6.3	1.6445e+00	3.1003e+00	8.8146e-01	1.2225e+00	1.0841e+00	1.6352e+00	6.6186e+00	1.6751e+00	6.0158e-01	1.5725e+00
6.4	1.3815e+00	3.2655e+00	9.8494e-01	1.0695e+00	1.0473e+00	1.5350e+00	6.2741e+00	1.9056e+00	7.3132e-01	1.6719e+00
6.5	1.1573e+00	2.9066e+00	9.0091e-01	1.0110e+00	1.2228e+00	1.5150e+00	6.8196e+00	2.0461e+00	8.7490e-01	1.4431e+00
6.6	8.2730e-01	2.7369e+00	8.4400e-01	1.1102e+00	1.4156e+00	1.5098e+00	8.0205e+00	2.0739e+00	8.9833e-01	1.4229e+00
6.7	5.6547e-01	3.0518e+00	1.0043e+00	1.2056e+00	1.4634e+00	1.4355e+00	8.6897e+00	2.1365e+00	1.0698e+00	1.8103e+00
6.8	3.8614e-01	3.3003e+00	1.2323e+00	1.3114e+00	1.4170e+00	1.3353e+00	8.4064e+00	2.1242e+00	1.2357e+00	2.5745e+00
6.9	4.8746e-01	4.2541e+00	1.5110e+00	1.3735e+00	1.1306e+00	1.1941e+00	7.7504e+00	2.3355e+00	1.4183e+00	3.9214e+00
7.0	7.1093e-01	5.2477e+00	1.6650e+00	1.3627e+00	8.6490e-01	1.1078e+00	6.8146e+00	2.4478e+00	1.5687e+00	4.2961e+00
7.1	9.2270e-01	4.8554e+00	1.3410e+00	6.1242e-01	5.4578e-01	8.2237e-01	4.5784e+00	2.2759e+00	1.4859e+00	3.6894e+00
7.2	1.0914e+00	4.3989e+00	8.4931e-01	-5.7150e-01	2.4146e-01	4.1656e-01	1.8983e+00	2.0982e+00	1.2986e+00	2.5433e+00
7.3	1.2587e+00	3.9174e+00	8.7826e-01	-5.8832e-01	1.5104e-01	3.3406e-01	1.3824e+00	2.2010e+00	1.4094e+00	2.1341e+00
7.4	1.4072e+00	3.5982e+00	9.1175e-01	-5.2382e-01	1.0853e-01	2.6045e-01	1.1106e+00	2.2317e+00	1.4508e+00	1.9750e+00
7.5	1.5072e+00	3.1655e+00	9.7312e-01	-3.5909e-01	3.3992e-02	2.0265e-01	9.5792e-01	2.2570e+00	1.4991e+00	1.5801e+00
7.6	1.5452e+00	2.7271e+00	1.0252e+00	-2.3765e-01	-4.7698e-02	1.3078e-01	7.6056e-01	2.2657e+00	1.5123e+00	1.1913e+00
7.7	1.5373e+00	2.2042e+00	1.0503e+00	-1.6482e-01	-1.4489e-01	5.7829e-02	4.8605e-01	2.2594e+00	1.5322e+00	6.8550e-01
7.8	1.4937e+00	1.6839e+00	1.0571e+00	-1.0826e-01	-2.6288e-01	3.8994e-04	2.8979e-01	2.2612e+00	1.5407e+00	1.4284e-01
7.9	1.4477e+00	1.1946e+00	1.0751e+00	-2.6975e-02	-3.7875e-01	-3.8551e-02	1.7708e-01	2.2920e+00	1.5760e+00	-3.4706e-01
8.0	1.3901e+00	7.0235e-01	1.1112e+00	7.2576e-02	-5.1759e-01	-6.3251e-02	1.0276e-01	2.3590e+00	1.6251e+00	-1.0009e+00
8.1	1.3415e+00	3.3145e-01	1.1298e+00	2.6620e-01	-6.1763e-01	-5.5249e-02	1.4931e-01	2.3845e+00	1.6693e+00	-1.4737e+00
8.2	1.3199e+00	6.8193e-03	1.1743e+00	4.7080e-01	-7.8907e-01	-6.9443e-02	1.3612e-01	2.4610e+00	1.7300e+00	-1.8980e+00
8.3	1.3236e+00	-1.2502e-01	1.1825e+00	7.9567e-01	-9.0620e-01	-7.5048e-02	1.8536e-01	2.4945e+00	1.7793e+00	-2.1494e+00
8.4	1.3865e+00	-9.8769e-02	1.1663e+00	1.2757e+00	-1.0015e+00	-1.2498e-01	2.1304e-01	2.5327e+00	1.8381e+00	-2.2794e+00
8.5	1.5398e+00	1.4228e-01	1.1021e+00	2.0878e+00	-1.0836e+00	-2.4696e-01	2.2926e-01	2.6040e+00	1.9116e+00	-2.3369e+00
8.6	1.7993e+00	7.9545e-01	9.8857e-01	3.1319e+00	-1.0654e+00	-5.7363e-01	1.0917e-01	2.7674e+00	2.0051e+00	-2.2154e+00
8.7	2.1257e+00	1.8260e+00	8.2164e-01	4.0908e+00	-8.2894e-01	-1.4382e+00	-7.0715e-01	3.0640e+00	2.1634e+00	-1.8734e+00
8.8	2.1637e+00	2.2794e+00	7.7403e-01	4.0834e+00	-3.2647e-01	-2.8389e+00	-2.2773e+00	3.4018e+00	2.3976e+00	-1.2745e+00
8.9	1.6931e+00	1.0755e+00	9.5662e-01	2.3933e+00	8.7707e-02	-3.9513e+00	-4.0371e+00	3.6248e+00	2.7448e+00	-3.8161e-01
9.0	1.3730e+00	2.7802e-01	1.1209e+00	1.4786e+00	-5.5248e-01	-1.8121e+00	-1.8308e+00	3.5426e+00	3.1889e+00	6.9374e-01
9.1	1.4260e+00	4.4115e-01	1.0489e+00	1.9437e+00	-8.9860e-01	-5.3340e-01	-8.3823e-02	3.4222e+00	3.7313e+00	1.9101e+00
9.2	1.7304e+00	1.3192e+00	9.1046e-01	3.1926e+00	-7.9687e-01	-9.5918e-01	-2.4536e-01	3.9335e+00	4.4879e+00	3.3801e+00
9.3	1.6328e+00	1.2240e+00	8.9072e-01	3.0138e+00	-7.8079e-01	-1.1011e+00	-3.1422e-01	4.8791e+00	5.2190e+00	4.9394e+00
9.4	1.8433e+00	2.0276e+00	7.9482e-01	3.9927e+00	-7.0097e-01	-1.4313e+00	-2.8987e-01	5.0667e+00	5.2365e+00	5.3638e+00
9.5	1.3628e+00	2.2796e+00	5.7488e-01	2.6818e+00	1.5087e-01	-2.5235e+00	-1.7338e+00	6.1960e+00	6.1851e+00	7.3209e+00
9.6	9.5711e-01	1.5712e+00	5.8938e-01	1.3173e+00	8.7104e-02	-1.0733e+00	-2.2956e-01	6.4589e+00	6.6694e+00	8.8210e+00
9.7	7.0851e-01	1.1543e+00	6.6968e-01	2.3050e-01	1.1265e-01	4.7882e-01	1.4481e+00	6.5895e+00	7.2376e+00	1.0394e+01
9.8	7.3662e-01	1.2148e+00	7.3306e-01	2.5958e-01	1.3604e-01	6.0645e-01	1.7417e+00	6.0580e+00	7.1413e+00	1.1101e+01
