    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  6.0000e+00  1.6719e+00  1.7358e+00  6.6392e-03 -1.5473e-01 -2.1542e-02  5.0296e-02  2.2315e-02 -6.3383e-01  6.6492e-01  9.8473e-02  2.0052e+00  2.4802e+00  1.7138e-02  9.9759e-03  1.9292e-02  6.3344e-03 -1.2406e-02  3.0995e-03  2.3797e-02  1.5378e+00  1.3622e+00  8.7576e-01  9.0023e-01  6.1961e-01  6.6500e-01  4.6482e-02  1.2830e-01  2.3681e-01  3.6014e-01  8.8027e-01
  6.1000e+00  1.6748e+00  1.7373e+00  5.9537e-03 -1.2598e-01 -1.3336e-02  4.2241e-02  1.8594e-02 -7.4267e-01  5.4608e-01  9.1037e-02  2.0052e+00  2.4801e+00  1.4195e-02  8.3713e-03  1.6822e-02  5.3303e-03 -1.8024e-02  2.8710e-03  2.1003e-02  1.5378e+00  1.3622e+00  7.2660e-01  7.4658e-01  5.1044e-01  5.4846e-01  3.6792e-02  1.0234e-01  1.9164e-01  3.5147e-01  8.7976e-01
  6.2000e+00  1.6759e+00  1.7385e+00  5.2515e-03 -1.0895e-01  4.5236e-03  4.0807e-02  1.8010e-02 -5.9043e-01  5.2479e-01  9.8935e-02  2.0050e+00  2.4798e+00  1.1376e-02  6.5477e-03  1.6983e-02  4.7183e-03 -1.8457e-02  2.8642e-03  2.2808e-02  1.5377e+00  1.3622e+00  6.6848e-01  6.8785e-01  4.8027e-01  5.2253e-01  5.7517e-02  1.3832e-01  2.1933e-01  3.4492e-01  8.8083e-01
  6.3000e+00  1.6681e+00  1.7435e+00 -6.3605e-03  2.8619e-01  4.0090e-01  1.4127e-01  6.3625e-01 -1.1317e-01  1.3216e+00  1.0618e+00  2.0085e+00  2.4939e+00  1.8141e-01  4.0683e-01  3.1913e-01  2.6745e-01  2.5616e-01  1.3303e-01  1.1486e-01  1.5376e+00  1.3683e+00  1.0423e+00  1.0124e+00  9.1879e-01  1.0854e+00  1.1904e+00  2.9029e+00  2.3678e+00  4.3913e-01  9.2190e-01
  6.4000e+00  1.6675e+00  1.7484e+00 -3.5678e-03  4.5495e-01  6.1182e-01  2.1568e-01  8.6276e-01 -7.4136e-01  1.4322e+00  1.7035e+00  2.0168e+00  2.5068e+00  3.5567e-01  7.0162e-01  5.5198e-01  5.0859e-01  4.8564e-01  7.5475e-02  2.4522e-01  1.5657e+00  1.3748e+00  1.2254e+00  1.0668e+00  1.1519e+00  1.2370e+00  1.5409e+00  3.8386e+00  3.0588e+00  5.1845e-01  9.3062e-01
  6.5000e+00  1.6663e+00  1.7397e+00 -4.5613e-04  4.0410e-02  2.8997e-01  1.2590e-01  2.4871e-01 -3.5250e+00  1.0982e+00  6.6065e-01  2.0078e+00  2.4891e+00  1.4080e-01  2.4430e-01  2.2588e-01  1.5822e-01  1.8474e-01 -1.6262e-01  1.6206e-01  1.6225e+00  1.3671e+00  1.2161e+00  1.1338e+00  1.0171e+00  1.0730e+00  9.4639e-01  2.2871e+00  1.9533e+00  5.8432e-01  9.0273e-01
  6.6000e+00  1.6620e+00  1.7367e+00  9.4157e-03 -7.8549e-02  2.1540e-01  1.1622e-01  8.6323e-02 -3.4479e+00  1.1336e+00  4.3488e-01  2.0055e+00  2.4848e+00  9.7429e-02  1.3198e-01  1.5307e-01  6.5165e-02  1.0553e-01 -4.8191e-02  7.0343e-02  1.5883e+00  1.3653e+00  1.4431e+00  1.3540e+00  1.1800e+00  1.2238e+00  7.5409e-01  1.7374e+00  1.5881e+00  7.4760e-01  9.0079e-01
  6.7000e+00  1.6617e+00  1.7364e+00  3.7123e-02 -1.1735e-02  2.6224e-01  1.2420e-01  1.1079e-01 -4.1606e+00  8.9319e-01  7.1059e-01  2.0088e+00  2.4935e+00  2.4288e-01  2.9575e-01  3.0386e-01  1.6205e-01  2.2405e-01  1.1295e-01  9.0172e-02  1.5487e+00  1.3712e+00  1.4996e+00  1.2647e+00  1.2001e+00  1.1644e+00  1.0860e+00  2.6001e+00  2.2147e+00  1.2272e+00  9.0708e-01
  6.8000e+00  1.6614e+00  1.7415e+00  1.0695e-01  2.7764e-01  5.8148e-01  2.1952e-01  6.5758e-01 -3.1513e+00  9.6723e-01  1.7950e+00  2.0211e+00  2.5227e+00  6.8760e-01  8.8631e-01  7.9973e-01  6.4289e-01  5.9714e-01  3.5399e-01  4.3743e-01  1.5450e+00  1.3865e+00  1.5805e+00  1.1495e+00  1.3156e+00  1.2238e+00  1.6661e+00  4.1631e+00  3.2988e+00  1.3767e+00  9.2813e-01
  6.9000e+00  1.6616e+00  1.7404e+00  1.7319e-01  2.3930e-01  6.4673e-01  2.7564e-01  8.7253e-01 -1.9660e+00  7.6804e-01  2.1142e+00  2.0330e+00  2.5450e+00  9.8347e-01  1.1662e+00  1.0736e+00  9.3431e-01  7.4604e-01  4.9011e-01  7.0952e-01  1.5462e+00  1.3978e+00  1.6044e+00  1.0673e+00  1.2912e+00  1.1117e+00  1.6754e+00  4.2811e+00  3.3459e+00  1.0888e+00  9.2535e-01
