    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  6.0000e+00  1.6759e+00  1.7374e+00  4.3852e-03 -1.1849e-01 -4.1935e-02  3.7167e-02  7.8983e-03 -6.6208e-01  4.7534e-01  7.6170e-02  2.0054e+00  2.4799e+00  8.5463e-03  4.7980e-03  8.9689e-03  2.2105e-03 -1.5777e-02  2.0485e-03  1.4842e-02  1.5377e+00  1.3622e+00  6.7481e-01  6.9587e-01  4.5465e-01  4.8378e-01  2.1166e-02  6.2809e-02  1.4179e-01  3.5720e-01  8.7717e-01
  6.1000e+00  1.6769e+00  1.7380e+00  4.3131e-03 -1.0784e-01 -3.6234e-02  3.4325e-02  7.7475e-03 -9.6334e-01  4.3710e-01  7.4643e-02  2.0055e+00  2.4800e+00  8.1623e-03  4.6619e-03  8.8623e-03  2.1552e-03 -1.8941e-02  2.0580e-03  1.4266e-02  1.5377e+00  1.3622e+00  6.2179e-01  6.4170e-01  4.1763e-01  4.4494e-01  1.9644e-02  5.8112e-02  1.3123e-01  3.5411e-01  8.7692e-01
  6.2000e+00  1.6774e+00  1.7383e+00  4.2692e-03 -1.0243e-01 -3.3369e-02  3.2854e-02  7.6196e-03 -9.4271e-01  4.1723e-01  7.3738e-02  2.0055e+00  2.4800e+00  7.9494e-03  4.5715e-03  8.7878e-03  2.1254e-03 -2.0760e-02  2.0601e-03  1.3947e-02  1.5377e+00  1.3623e+00  5.9470e-01  6.1381e-01  3.9876e-01  4.2500e-01  1.8844e-02  5.5628e-02  1.2561e-01  3.5163e-01  8.7696e-01
  6.3000e+00  1.6650e+00  1.7359e+00  4.8380e-03 -1.4261e-01 -1.4227e-02  3.5372e-02  2.4763e-02 -1.0174e+00  1.1760e+00  9.3870e-02  2.0041e+00  2.4790e+00  1.7780e-02 -1.6337e-03  1.3251e-02  2.9761e-03 -1.6113e-02  2.6059e-03  1.6084e-02  1.5374e+00  1.3618e+00  1.2223e+00  1.2837e+00  1.0126e+00  1.0877e+00  3.6418e-01  6.8792e-01  8.1789e-01  3.4851e-01  8.8865e-01
  6.4000e+00  1.6272e+00  1.7270e+00  6.4503e-03 -3.1451e-01 -1.0663e-02  6.5861e-02  3.7307e-02 -6.5636e-01  3.0606e+00  1.4243e-01  2.0013e+00  2.4764e+00  1.7914e-02 -6.7860e-03  1.6338e-02  4.3494e-03 -2.7952e-03  3.6271e-03  2.1444e-02  1.5370e+00  1.3611e+00  3.1344e+00  3.2150e+00  2.8030e+00  2.9210e+00  9.0026e-01  1.6680e+00  1.8653e+00  3.1211e-01  9.1806e-01
  6.5000e+00  1.6206e+00  1.7262e+00  7.8921e-03 -3.0625e-01 -4.3939e-03  4.3939e-02  7.1434e-02 -5.0042e-01  3.4698e+00  1.4082e-01  2.0001e+00  2.4761e+00  3.4744e-02 -1.3013e-02  2.5904e-02  2.4233e-03 -3.2710e-04  3.0814e-03  1.9296e-02  1.5367e+00  1.3608e+00  3.4257e+00  3.5479e+00  3.1121e+00  3.2578e+00  1.0611e+00  1.9230e+00  2.1028e+00  3.6166e-01  9.2796e-01
  6.6000e+00  1.6156e+00  1.7223e+00  1.6072e-02 -3.4105e-01  3.7511e-02  3.7806e-02  1.3325e-01 -7.3466e-01  3.6114e+00  1.6528e-01  1.9990e+00  2.4778e+00  1.0186e-01 -6.4825e-03  5.2961e-02  2.6386e-03  3.2786e-03  3.5731e-03  3.2508e-02  1.5365e+00  1.3607e+00  3.6446e+00  3.7598e+00  3.2602e+00  3.4024e+00  1.0774e+00  1.9567e+00  2.1091e+00  5.3779e-01  9.3582e-01
  6.7000e+00  1.6295e+00  1.7262e+00  2.3897e-02 -1.8947e-01  1.1286e-01  6.7326e-02  1.5681e-01 -1.5374e+00  2.7789e+00  2.6253e-01  1.9996e+00  2.4803e+00  1.3002e-01  7.2068e-02  1.0156e-01  2.3143e-02  2.7618e-02  4.3250e-03  5.0725e-02  1.5363e+00  1.3610e+00  2.9700e+00  2.9610e+00  2.6195e+00  2.6911e+00  8.6656e-01  1.7581e+00  1.7385e+00  7.6747e-01  9.3284e-01
  6.8000e+00  1.6362e+00  1.7278e+00  2.0244e-02 -1.8687e-01  8.7584e-02  1.0141e-01  4.9468e-02 -2.4609e+00  2.3664e+00  2.8033e-01  2.0009e+00  2.4798e+00  9.4257e-02  6.7798e-02  7.8881e-02  8.1877e-03  3.1692e-02  1.5577e-03  4.6403e-02  1.5366e+00  1.3614e+00  2.6988e+00  2.6295e+00  2.3275e+00  2.3713e+00  7.7769e-01  1.6343e+00  1.6173e+00  8.9076e-01  9.2078e-01
  6.9000e+00  1.6447e+00  1.7298e+00  1.5885e-02 -2.1555e-01  6.0254e-02  1.2846e-01 -8.1266e-03 -2.2353e+00  1.9565e+00  2.6408e-01  2.0017e+00  2.4789e+00  6.2224e-02  4.2511e-02  5.0672e-02 -1.2234e-02  2.1514e-02 -2.0526e-04  5.1540e-02  1.5370e+00  1.3616e+00  2.3197e+00  2.2597e+00  1.9277e+00  1.9809e+00  6.0580e-01  1.2800e+00  1.3255e+00  7.6410e-01  9.0884e-01
  7.0000e+00  1.6435e+00  1.7287e+00  1.2922e-02 -2.5735e-01  3.9127e-02  1.5752e-01 -3.8547e-02 -2.1642e+00  1.9741e+00  2.7353e-01  2.0019e+00  2.4783e+00  4.3043e-02  3.5037e-02  3.8365e-02 -2.0632e-02  2.0326e-02 -1.0002e-03  5.5797e-02  1.5372e+00  1.3617e+00  2.4110e+00  2.3433e+00  1.9670e+00  2.0226e+00  5.2585e-01  1.1389e+00  1.2291e+00  7.4304e-01  9.0592e-01
  7.1000e+00  1.6400e+00  1.7261e+00  8.9973e-03 -3.3657e-01  6.7594e-03  1.8851e-01 -8.4117e-03 -9.4658e-01  2.1493e+00  2.7322e-01  2.0017e+00  2.4776e+00  2.9221e-02  2.1592e-02  2.5097e-02 -6.8522e-03  1.3880e-02  1.8770e-03  5.8144e-02  1.5372e+00  1.3617e+00  2.6102e+00  2.5714e+00  2.0810e+00  2.1625e+00  4.3205e-01  9.4895e-01  1.1172e+00  5.0944e-01  9.0384e-01
  7.2000e+00  1.6336e+00  1.7217e+00  7.5836e-03 -4.1857e-01 -3.7143e-02  2.1396e-01  1.3935e-02 -1.7424e-01  2.3729e+00  2.7405e-01  2.0012e+00  2.4772e+00  2.5240e-02  2.1072e-02  2.2304e-02  5.1693e-03  1.3124e-02  2.8034e-03  6.0588e-02  1.5372e+00  1.3617e+00  2.9305e+00  2.8998e+00  2.2883e+00  2.3778e+00  3.7349e-01  8.5226e-01  1.0695e+00  3.7941e-01  9.0475e-01
  7.3000e+00  1.6246e+00  1.7168e+00  7.5226e-03 -5.0686e-01 -6.4023e-02  2.4919e-01  2.0037e-02  3.5773e-02  2.6982e+00  2.9223e-01  2.0005e+00  2.4766e+00  2.5856e-02  2.2014e-02  2.2043e-02  9.2097e-03  1.3306e-02  2.9387e-03  6.5921e-02  1.5372e+00  1.3616e+00  3.3929e+00  3.3495e+00  2.6314e+00  2.7205e+00  3.6054e-01  8.4342e-01  1.1048e+00  3.4077e-01  9.0892e-01
  7.4000e+00  1.6111e+00  1.7092e+00  7.6206e-03 -6.4006e-01 -1.1716e-01  2.8614e-01  2.2822e-02  1.7714e-01  3.1744e+00  2.9817e-01  1.9996e+00  2.4760e+00  2.6990e-02  2.0932e-02  2.1023e-02  1.1021e-02  1.2366e-02  2.9050e-03  6.9647e-02  1.5372e+00  1.3615e+00  4.0579e+00  4.0051e+00  3.1300e+00  3.2154e+00  3.6094e-01  8.4963e-01  1.1796e+00  3.0868e-01  9.1490e-01
