log_age	F1370	F1400	F1425	F1460	UV_1501	F1533	F1550	UV_1719	F1853	F1978
6.0	2.8685e+00	2.7436e+00	5.1115e-01	1.2865e+00	1.1557e+00	3.2627e+00	6.2889e+00	1.3723e+00	2.4100e-01	1.1766e+00
6.1	2.7445e+00	3.0965e+00	5.6848e-01	1.5396e+00	1.3701e+00	2.8039e+00	7.0675e+00	1.7208e+00	3.4723e-01	1.0254e+00
6.2	2.5274e+00	3.1571e+00	4.5004e-01	1.6051e+00	1.5283e+00	2.5540e+00	7.4060e+00	1.8190e+00	4.4669e-01	8.3095e-01
6.3	2.0999e+00	3.3369e+00	3.3435e-01	1.6690e+00	1.6700e+00	2.3005e+00	8.0763e+00	1.8340e+00	6.1375e-01	8.1589e-01
6.4	1.3181e+00	4.1205e+00	8.0960e-01	1.6343e+00	1.6760e+00	1.9304e+00	8.3797e+00	1.9421e+00	9.2476e-01	1.5235e+00
6.5	1.0097e+00	4.4266e+00	1.0886e+00	1.2742e+00	1.6316e+00	1.7763e+00	7.9821e+00	2.1394e+00	1.1018e+00	1.4221e+00
6.6	9.0754e-01	4.1015e+00	1.1493e+00	1.2886e+00	1.7545e+00	1.6484e+00	8.4661e+00	2.2517e+00	1.3317e+00	1.5194e+00
6.7	7.4127e-01	4.2647e+00	1.3057e+00	1.2686e+00	1.5642e+00	1.4166e+00	8.2910e+00	2.2823e+00	1.4049e+00	2.0626e+00
6.8	6.9904e-01	4.5983e+00	1.6088e+00	1.4599e+00	1.3785e+00	1.3265e+00	8.2235e+00	2.5409e+00	1.5639e+00	3.0059e+00
6.9	8.3669e-01	5.8538e+00	1.7197e+00	1.2510e+00	1.0164e+00	1.1685e+00	7.0950e+00	2.7030e+00	1.6365e+00	3.5279e+00
7.0	1.0092e+00	6.0431e+00	1.6227e+00	7.7293e-01	7.1382e-01	9.8601e-01	5.5237e+00	2.7245e+00	1.6556e+00	3.6456e+00
7.1	1.2227e+00	5.7944e+00	1.1917e+00	-5.3271e-01	3.3145e-01	5.8545e-01	2.7024e+00	2.4814e+00	1.5241e+00	2.8691e+00
7.2	1.4279e+00	5.3154e+00	1.1431e+00	-8.3090e-01	2.1644e-01	4.2623e-01	1.6570e+00	2.5454e+00	1.6310e+00	2.5422e+00
7.3	1.6037e+00	4.6821e+00	1.1966e+00	-7.2938e-01	1.2898e-01	3.4414e-01	1.3269e+00	2.6338e+00	1.7632e+00	2.1795e+00
7.4	1.7024e+00	4.1032e+00	1.2604e+00	-5.7318e-01	5.8160e-02	2.6865e-01	1.1112e+00	2.6861e+00	1.8465e+00	1.8236e+00
7.5	1.7327e+00	3.5005e+00	1.3118e+00	-4.0242e-01	-4.6100e-02	1.9795e-01	9.0897e-01	2.7196e+00	1.9001e+00	1.3640e+00
7.6	1.7137e+00	2.8543e+00	1.3315e+00	-2.5774e-01	-1.7353e-01	1.3400e-01	7.3839e-01	2.7300e+00	1.9324e+00	8.5532e-01
7.7	1.6702e+00	2.1454e+00	1.3065e+00	-1.8424e-01	-3.3631e-01	7.1786e-02	5.0024e-01	2.7412e+00	1.9593e+00	3.0742e-01
7.8	1.6207e+00	1.5095e+00	1.2849e+00	-6.1527e-02	-4.9443e-01	3.9962e-02	3.9982e-01	2.7690e+00	1.9997e+00	-3.9468e-01
7.9	1.5738e+00	1.0145e+00	1.2744e+00	9.9772e-02	-6.4921e-01	4.1523e-02	3.8227e-01	2.8120e+00	2.0427e+00	-9.6308e-01
8.0	1.5477e+00	6.1173e-01	1.2758e+00	3.4401e-01	-8.0182e-01	7.9658e-02	4.6956e-01	2.8601e+00	2.0970e+00	-1.4480e+00
8.1	1.5278e+00	2.3896e-01	1.2698e+00	6.8120e-01	-9.7371e-01	1.2091e-01	5.4954e-01	2.9031e+00	2.1526e+00	-1.9234e+00
8.2	1.5463e+00	-1.1869e-02	1.2418e+00	1.1396e+00	-1.1414e+00	1.5178e-01	6.3970e-01	2.9283e+00	2.2046e+00	-2.2756e+00
8.3	1.6060e+00	-6.1597e-02	1.1753e+00	1.7460e+00	-1.2631e+00	1.4451e-01	7.1024e-01	2.9464e+00	2.2502e+00	-2.4459e+00
8.4	1.7844e+00	2.2605e-01	1.0719e+00	2.5538e+00	-1.3080e+00	2.2917e-02	7.4619e-01	2.9949e+00	2.2969e+00	-2.4006e+00
8.5	2.0416e+00	7.3883e-01	9.1178e-01	3.6933e+00	-1.2590e+00	-3.7171e-01	5.3846e-01	3.1523e+00	2.3890e+00	-2.2404e+00
8.6	2.2597e+00	1.5707e+00	7.7034e-01	4.3142e+00	-8.7068e-01	-1.2250e+00	-1.7040e-01	3.4070e+00	2.5466e+00	-1.7164e+00
8.7	1.9178e+00	1.2938e+00	9.3704e-01	2.8443e+00	-1.9686e-01	-2.2118e+00	-1.0982e+00	3.6491e+00	2.8120e+00	-8.4427e-01
8.8	1.5238e+00	2.5208e-01	1.1723e+00	1.5070e+00	-5.2916e-01	-1.4729e+00	-5.7157e-01	3.6452e+00	3.1217e+00	1.4401e-01
8.9	1.6154e+00	4.9986e-01	1.1659e+00	2.2271e+00	-8.6048e-01	-5.2357e-01	4.7983e-01	3.6702e+00	3.6290e+00	1.4828e+00
9.0	1.6158e+00	1.1055e+00	1.1810e+00	2.3822e+00	-6.0192e-01	-4.5388e-01	9.1676e-01	4.0753e+00	4.5197e+00	3.6805e+00
9.1	1.5329e+00	6.5296e-01	1.0755e+00	2.0672e+00	-9.3639e-01	-5.9639e-02	9.2479e-01	4.4952e+00	5.0200e+00	4.9380e+00
9.2	1.8439e+00	7.9469e-01	8.7673e-01	3.5048e+00	-1.1540e+00	-4.8674e-01	5.3635e-01	4.5679e+00	4.8059e+00	4.7704e+00
9.3	2.1645e+00	1.9855e+00	6.4433e-01	4.8133e+00	-7.1376e-01	-1.4816e+00	1.9020e-01	4.5903e+00	4.5678e+00	4.6807e+00
9.4	1.4994e+00	2.5373e+00	8.7552e-01	2.4897e+00	2.5260e-01	-1.3940e+00	8.2019e-01	4.6929e+00	4.8535e+00	6.1222e+00
9.5	1.0069e+00	1.7976e+00	5.2399e-01	1.3541e+00	4.2246e-01	-1.8490e+00	-4.9122e-01	4.8860e+00	5.1993e+00	7.3552e+00
9.6	5.1533e-01	8.2177e-01	3.2199e-01	1.9687e-01	1.3831e-01	-1.0422e+00	-1.2179e-01	4.8094e+00	5.3016e+00	8.1336e+00
9.7	7.5091e-01	1.1998e+00	6.4736e-01	2.6062e-01	1.0141e-01	4.9404e-01	1.3486e+00	3.8307e+00	5.1581e+00	1.0070e+01
9.8	7.7262e-01	1.2771e+00	7.0770e-01	2.5910e-01	1.0050e-01	6.0522e-01	1.5422e+00	3.0794e+00	4.3177e+00	9.6846e+00
9.9	7.7994e-01	1.2914e+00	7.0801e-01	2.6270e-01	1.2217e-01	6.2668e-01	1.5726e+00	2.4630e+00	3.3971e+00	8.3272e+00
10.0	3.9800e-01	5.0105e-01	2.4701e-01	2.5996e-01	-7.4077e-02	3.5812e-02	4.6507e-01	2.3778e+00	3.7403e+00	1.0105e+01
