log_age	F1370	F1400	F1425	F1460	UV_1501	F1533	F1550	UV_1719	F1853	F1978
6.0	2.6829e+00	5.6413e+00	3.8616e-01	1.9012e+00	1.7753e+00	3.9372e+00	7.6610e+00	2.1566e+00	7.4243e-01	1.0305e+00
6.1	2.1264e+00	5.7824e+00	5.8913e-01	2.0298e+00	2.0413e+00	3.1594e+00	8.3971e+00	2.2811e+00	9.9264e-01	1.0781e+00
6.2	1.9597e+00	5.8252e+00	6.3445e-01	2.0180e+00	2.1553e+00	2.9807e+00	8.7910e+00	2.2643e+00	1.0558e+00	1.0659e+00
6.3	1.7499e+00	5.8300e+00	9.4439e-01	2.0459e+00	2.0585e+00	2.4879e+00	9.3882e+00	2.1763e+00	1.0663e+00	2.5735e+00
6.4	1.5000e+00	6.0816e+00	1.1841e+00	1.8182e+00	1.8922e+00	2.0898e+00	8.8521e+00	1.9796e+00	1.1960e+00	4.3359e+00
6.5	1.2915e+00	6.4620e+00	1.6441e+00	1.5782e+00	1.8815e+00	1.8528e+00	8.2204e+00	2.1336e+00	1.5938e+00	2.4398e+00
6.6	1.1860e+00	6.4436e+00	1.9697e+00	1.6869e+00	1.8986e+00	1.6212e+00	8.3715e+00	2.7054e+00	1.9424e+00	1.8729e+00
6.7	1.1173e+00	7.1999e+00	2.1426e+00	1.5960e+00	1.6821e+00	1.4819e+00	8.0307e+00	2.7688e+00	1.8009e+00	2.7321e+00
6.8	1.1124e+00	7.8198e+00	2.2955e+00	1.5378e+00	1.3910e+00	1.3367e+00	7.5117e+00	3.2419e+00	1.7825e+00	3.4629e+00
6.9	1.2323e+00	7.9305e+00	1.9849e+00	4.5636e-01	8.5367e-01	1.0420e+00	5.3406e+00	3.2172e+00	1.7713e+00	3.3133e+00
7.0	1.4677e+00	7.8046e+00	1.5984e+00	-9.0366e-01	4.0192e-01	6.7890e-01	2.6823e+00	2.9594e+00	1.8198e+00	2.6905e+00
7.1	1.6942e+00	7.1665e+00	1.6573e+00	-9.9108e-01	3.4086e-01	5.7030e-01	2.0018e+00	3.1659e+00	2.0677e+00	2.5581e+00
7.2	1.8578e+00	6.3640e+00	1.7095e+00	-8.7557e-01	2.6340e-01	4.8104e-01	1.6081e+00	3.3111e+00	2.2708e+00	2.2907e+00
7.3	1.9313e+00	5.5101e+00	1.7499e+00	-6.6457e-01	1.5824e-01	4.0297e-01	1.3511e+00	3.4083e+00	2.4071e+00	1.9138e+00
7.4	1.9407e+00	4.6412e+00	1.7644e+00	-4.6078e-01	-1.6269e-03	3.3180e-01	1.1429e+00	3.4849e+00	2.4982e+00	1.4006e+00
7.5	1.8989e+00	3.7384e+00	1.7293e+00	-2.6942e-01	-1.8579e-01	2.7470e-01	9.7702e-01	3.5173e+00	2.5528e+00	8.3029e-01
7.6	1.8472e+00	2.9011e+00	1.6641e+00	-1.0879e-01	-3.9741e-01	2.3724e-01	8.4420e-01	3.5414e+00	2.6087e+00	2.0881e-01
7.7	1.7909e+00	2.1017e+00	1.5874e+00	1.2497e-01	-6.3635e-01	2.5462e-01	8.2518e-01	3.5721e+00	2.6680e+00	-4.7184e-01
7.8	1.7477e+00	1.4941e+00	1.5130e+00	4.6512e-01	-8.7103e-01	3.4315e-01	9.6284e-01	3.6133e+00	2.7165e+00	-1.1082e+00
7.9	1.7248e+00	9.9277e-01	1.4149e+00	8.8942e-01	-1.0883e+00	4.6490e-01	1.1939e+00	3.6128e+00	2.7441e+00	-1.5251e+00
8.0	1.7220e+00	6.8750e-01	1.3323e+00	1.3478e+00	-1.2961e+00	5.8515e-01	1.3189e+00	3.6551e+00	2.7965e+00	-2.1057e+00
8.1	1.7784e+00	4.6903e-01	1.1893e+00	1.9728e+00	-1.4876e+00	6.7091e-01	1.4699e+00	3.6451e+00	2.8310e+00	-2.4414e+00
8.2	1.9081e+00	3.5495e-01	9.9622e-01	2.7757e+00	-1.6480e+00	6.6158e-01	1.5751e+00	3.6280e+00	2.8369e+00	-2.6478e+00
8.3	2.0862e+00	5.5961e-01	8.0832e-01	3.5703e+00	-1.6655e+00	4.9969e-01	1.4867e+00	3.6487e+00	2.8597e+00	-2.5877e+00
8.4	2.3053e+00	1.0845e+00	7.0007e-01	4.0490e+00	-1.3574e+00	-2.6504e-02	1.1103e+00	3.7465e+00	2.9233e+00	-2.1460e+00
8.5	2.3233e+00	1.4316e+00	7.0799e-01	4.0036e+00	-5.9349e-01	-9.5148e-01	7.6384e-01	3.9387e+00	3.1305e+00	-1.3040e+00
8.6	1.8128e+00	9.6910e-01	1.1084e+00	2.0359e+00	-4.4205e-02	-1.3613e+00	8.8735e-01	4.0513e+00	3.5183e+00	8.9610e-02
8.7	1.6236e+00	5.4723e-01	1.2158e+00	2.1081e+00	-9.9623e-01	8.5243e-02	1.9586e+00	4.0246e+00	3.8905e+00	1.3355e+00
8.8	1.7221e+00	6.7856e-01	1.0587e+00	2.5173e+00	-1.2997e+00	4.0383e-01	1.7784e+00	4.1380e+00	4.2360e+00	2.6513e+00
8.9	1.7727e+00	1.1150e+00	9.5091e-01	3.0085e+00	-1.1968e+00	3.6117e-01	1.7213e+00	4.3050e+00	4.2741e+00	3.0637e+00
9.0	1.7305e+00	1.9349e+00	1.0519e+00	2.7725e+00	-7.9833e-01	3.1620e-01	1.9739e+00	4.3952e+00	4.3339e+00	3.9636e+00
9.1	1.5657e+00	2.3954e+00	1.0952e+00	2.0991e+00	-4.1513e-01	2.0473e-01	2.1474e+00	4.4884e+00	4.5423e+00	5.5750e+00
9.2	1.7644e+00	1.9406e+00	7.1634e-01	3.3130e+00	-7.6608e-01	-2.7851e-01	1.5666e+00	4.1782e+00	3.8901e+00	3.6552e+00
9.3	1.6875e+00	1.9551e+00	4.8009e-01	3.4021e+00	-4.4363e-01	-6.1351e-01	1.3119e+00	3.8952e+00	3.5764e+00	2.8282e+00
9.4	9.0097e-01	1.9188e+00	4.9929e-01	1.9679e+00	8.0526e-01	-1.4780e+00	1.3673e+00	4.0634e+00	3.5284e+00	2.5024e+00
9.5	6.2112e-01	1.9309e+00	8.0125e-01	5.7196e-01	4.2147e-01	5.4613e-01	2.2370e+00	3.3892e+00	3.7383e+00	5.3473e+00
9.6	6.8181e-01	1.7006e+00	6.7414e-01	2.6761e-01	1.4707e-01	6.6500e-01	1.6623e+00	2.8188e+00	3.3900e+00	6.4389e+00
9.7	6.0715e-01	1.2280e+00	6.2634e-01	2.7843e-01	1.0966e-01	6.8936e-01	1.3937e+00	2.0897e+00	2.4799e+00	5.6495e+00
9.8	3.0328e-01	4.3297e-01	2.0665e-01	2.1016e-01	-1.1399e-01	5.7010e-02	4.2543e-01	1.1981e+00	1.5454e+00	5.2927e+00
9.9	6.3738e-01	1.2801e+00	6.4807e-01	2.8166e-01	9.1236e-02	6.8939e-01	1.4252e+00	1.5815e+00	1.3912e+00	3.3350e+00
10.0	7.6769e-01	1.5166e+00	7.8839e-01	3.2416e-01	1.0854e-01	8.7072e-01	1.6910e+00	1.7764e+00	1.4157e+00	2.3687e+00
10.1	1.1872e+00	2.6999e+00	1.3704e+00	5.1172e-01	3.7139e-01	1.5793e+00	2.9357e+00	2.7261e+00	4.0557e+00	4.6166e+00
