    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  7.1000e+00  1.6066e+00  1.7132e+00  1.7184e-01 -5.7070e-01  6.2207e-01  4.6615e-01  1.0247e+00  8.1553e-01  3.0423e+00  2.4379e+00  2.0544e+00  2.5862e+00  1.2330e+00  1.2186e+00  1.4793e+00  1.1602e+00  7.6004e-01  5.9481e-01  1.8629e+00  1.5957e+00  1.4799e+00  4.1786e+00  3.7571e+00  3.2655e+00  3.2767e+00  1.7635e+00  4.5281e+00  3.6891e+00  6.0475e-01  9.2826e-01
  7.2000e+00  1.5935e+00  1.7105e+00  1.6636e-01 -6.4084e-01  7.1218e-01  4.6959e-01  1.0218e+00  6.8981e-01  3.7264e+00  2.2201e+00  2.0422e+00  2.5648e+00  1.0475e+00  1.0465e+00  1.2969e+00  9.9615e-01  6.6278e-01  5.3896e-01  1.4725e+00  1.5710e+00  1.4369e+00  4.8815e+00  4.5485e+00  3.9006e+00  3.9689e+00  1.6684e+00  4.2216e+00  3.5099e+00  7.5206e-01  9.4595e-01
  7.3000e+00  1.5842e+00  1.7087e+00  1.4877e-01 -6.6867e-01  7.9724e-01  4.2923e-01  1.0151e+00  5.0097e-01  4.2698e+00  1.9136e+00  2.0318e+00  2.5486e+00  9.0172e-01  8.7216e-01  1.1273e+00  8.3462e-01  5.6309e-01  4.6028e-01  1.1603e+00  1.5596e+00  1.4146e+00  5.3400e+00  5.0988e+00  4.3604e+00  4.4653e+00  1.5796e+00  3.9092e+00  3.3420e+00  9.6949e-01  9.6045e-01
  7.4000e+00  1.5749e+00  1.7037e+00  1.2294e-01 -7.4739e-01  7.7251e-01  4.1045e-01  9.7023e-01  3.5155e-01  4.7131e+00  1.6411e+00  2.0210e+00  2.5323e+00  7.3977e-01  7.1500e-01  9.5214e-01  6.6179e-01  4.7071e-01  3.6607e-01  8.7833e-01  1.5528e+00  1.3998e+00  5.7844e+00  5.6313e+00  4.7268e+00  4.8709e+00  1.4803e+00  3.6073e+00  3.1943e+00  1.0704e+00  9.7288e-01
  7.5000e+00  1.5659e+00  1.6983e+00  1.1950e-01 -8.1321e-01  7.4045e-01  4.0084e-01  9.9064e-01  2.8997e-01  5.0204e+00  1.5447e+00  2.0164e+00  2.5262e+00  6.9473e-01  6.6834e-01  8.9207e-01  6.0277e-01  4.4260e-01  3.3348e-01  7.4239e-01  1.5488e+00  1.3917e+00  6.2099e+00  6.0789e+00  5.0520e+00  5.1907e+00  1.4295e+00  3.4586e+00  3.1266e+00  1.1512e+00  9.8319e-01
  7.6000e+00  1.5575e+00  1.6933e+00  1.2063e-01 -7.9947e-01  7.3961e-01  3.9972e-01  1.1474e+00  2.6223e-01  5.2813e+00  1.6034e+00  2.0126e+00  2.5244e+00  7.0974e-01  7.0370e-01  9.0798e-01  5.9411e-01  4.6413e-01  3.2677e-01  6.4102e-01  1.5459e+00  1.3869e+00  6.5916e+00  6.4811e+00  5.3304e+00  5.4741e+00  1.4472e+00  3.4798e+00  3.1487e+00  1.3035e+00  1.0045e+00
  7.7000e+00  1.5578e+00  1.6926e+00  1.3059e-01 -6.0847e-01  7.0740e-01  4.2022e-01  1.3514e+00  3.2131e-01  5.1903e+00  1.8370e+00  2.0112e+00  2.5243e+00  7.4273e-01  7.8220e-01  9.3058e-01  6.2402e-01  5.0785e-01  3.3815e-01  5.3191e-01  1.5433e+00  1.3830e+00  6.5509e+00  6.3994e+00  5.2385e+00  5.3992e+00  1.4652e+00  3.5606e+00  3.1648e+00  1.4082e+00  1.0259e+00
  7.8000e+00  1.5529e+00  1.6889e+00  1.6856e-01 -5.9519e-01  6.3948e-01  4.1084e-01  1.3826e+00  4.5762e-01  5.1682e+00  2.0087e+00  2.0180e+00  2.5342e+00  8.8177e-01  8.7776e-01  1.0060e+00  7.3477e-01  5.5026e-01  3.7808e-01  6.3618e-01  1.5506e+00  1.3960e+00  6.7599e+00  6.4866e+00  5.3690e+00  5.4344e+00  1.4154e+00  3.5943e+00  3.2070e+00  1.4076e+00  1.0233e+00
  7.9000e+00  1.5472e+00  1.6849e+00  1.7582e-01 -4.5017e-01  6.3365e-01  3.9009e-01  1.4905e+00  5.6306e-01  5.2431e+00  2.1651e+00  2.0183e+00  2.5355e+00  9.3377e-01  9.2446e-01  1.0141e+00  7.6899e-01  5.7442e-01  3.8569e-01  5.7759e-01  1.5518e+00  1.3975e+00  6.9598e+00  6.6057e+00  5.5066e+00  5.5170e+00  1.4237e+00  3.6455e+00  3.2428e+00  1.5879e+00  1.0365e+00
  8.0000e+00  1.5386e+00  1.6797e+00  1.8661e-01 -5.3028e-01  5.7390e-01  3.5796e-01  1.4940e+00  6.5809e-01  5.4293e+00  2.2563e+00  2.0228e+00  2.5430e+00  1.0380e+00  9.8363e-01  1.0840e+00  8.4991e-01  6.0681e-01  4.0592e-01  6.6941e-01  1.5615e+00  1.4131e+00  7.3671e+00  6.9797e+00  5.8154e+00  5.7504e+00  1.3981e+00  3.6601e+00  3.2827e+00  1.7640e+00  1.0363e+00
  8.1000e+00  1.5338e+00  1.6787e+00  2.2439e-01 -4.6487e-01  6.5087e-01  3.6135e-01  1.7151e+00  8.1899e-01  5.5138e+00  2.5856e+00  2.0293e+00  2.5577e+00  1.2635e+00  1.1582e+00  1.2657e+00  1.0030e+00  6.9822e-01  4.6447e-01  8.0901e-01  1.5696e+00  1.4279e+00  7.6336e+00  7.1800e+00  6.0331e+00  5.8961e+00  1.4367e+00  3.7895e+00  3.3475e+00  2.2278e+00  1.0530e+00
  8.2000e+00  1.5166e+00  1.6655e+00  1.8617e-01 -7.3680e-01  4.1594e-01  2.7222e-01  1.5216e+00  5.7858e-01  6.0669e+00  2.1455e+00  2.0219e+00  2.5444e+00  1.1059e+00  9.6232e-01  1.0827e+00  8.4319e-01  5.8957e-01  3.8705e-01  6.7182e-01  1.5656e+00  1.4185e+00  8.3447e+00  8.0023e+00  6.5347e+00  6.4316e+00  1.3639e+00  3.5721e+00  3.2611e+00  2.8173e+00  1.0518e+00
