    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  6.0000e+00  1.6726e+00  1.7359e+00  6.0207e-03 -1.4952e-01 -3.3119e-02  4.8479e-02  1.6364e-02 -5.7930e-01  6.2502e-01  9.0830e-02  2.0052e+00  2.4801e+00  1.5426e-02  8.0485e-03  1.4777e-02  4.4972e-03 -1.8310e-02  2.5595e-03  2.1590e-02  1.5378e+00  1.3622e+00  8.4273e-01  8.6637e-01  5.8800e-01  6.2878e-01  3.7440e-02  1.0653e-01  2.1132e-01  3.5928e-01  8.7913e-01
  6.1000e+00  1.6746e+00  1.7370e+00  5.6440e-03 -1.2921e-01 -2.6038e-02  4.2564e-02  1.4861e-02 -8.6522e-01  5.4396e-01  8.6187e-02  2.0053e+00  2.4801e+00  1.3690e-02  7.3559e-03  1.3750e-02  4.1041e-03 -2.0910e-02  2.4936e-03  1.9747e-02  1.5378e+00  1.3622e+00  7.3857e-01  7.5954e-01  5.1257e-01  5.4864e-01  3.1921e-02  9.1191e-02  1.8211e-01  3.5418e-01  8.7878e-01
  6.2000e+00  1.6761e+00  1.7381e+00  5.2720e-03 -1.1089e-01 -1.4058e-02  3.9213e-02  1.3570e-02 -7.1208e-01  4.9486e-01  8.6552e-02  2.0052e+00  2.4799e+00  1.1426e-02  6.2641e-03  1.3113e-02  3.7612e-03 -2.1564e-02  2.4322e-03  1.9138e-02  1.5377e+00  1.3622e+00  6.6102e-01  6.7967e-01  4.6347e-01  4.9829e-01  3.8375e-02  9.9567e-02  1.7958e-01  3.4631e-01  8.7930e-01
  6.3000e+00  1.6675e+00  1.7415e+00  2.2475e-03  3.0592e-01  3.3769e-01  1.1320e-01  5.4750e-01 -2.1814e-01  1.2322e+00  9.2815e-01  2.0083e+00  2.4924e+00  1.7566e-01  3.7227e-01  2.8572e-01  2.4821e-01  2.3979e-01  1.0423e-01  9.5928e-02  1.5374e+00  1.3675e+00  1.0457e+00  9.4893e-01  9.2127e-01  1.0034e+00  1.1165e+00  2.7627e+00  2.2470e+00  4.0898e-01  9.1567e-01
  6.4000e+00  1.6716e+00  1.7451e+00  1.4353e-03  4.9157e-01  4.7816e-01  1.6850e-01  7.3436e-01 -1.1276e+00  1.0437e+00  1.4065e+00  2.0138e+00  2.5014e+00  2.7944e-01  6.0606e-01  4.4308e-01  4.1715e-01  4.1124e-01  7.2859e-02  1.6578e-01  1.5538e+00  1.3719e+00  8.9096e-01  6.8072e-01  8.0734e-01  8.2998e-01  1.3243e+00  3.3952e+00  2.6790e+00  4.2641e-01  9.1994e-01
  6.5000e+00  1.6689e+00  1.7406e+00  1.8151e-03  2.1903e-01  2.9344e-01  1.1104e-01  4.0211e-01 -2.8274e+00  9.7806e-01  8.3260e-01  2.0089e+00  2.4918e+00  1.6732e-01  3.4271e-01  2.6892e-01  2.2296e-01  2.3738e-01 -2.9755e-02  1.1404e-01  1.5785e+00  1.3677e+00  1.0198e+00  8.8869e-01  8.6235e-01  8.8982e-01  1.0532e+00  2.6329e+00  2.1452e+00  5.7315e-01  9.0848e-01
  6.6000e+00  1.6552e+00  1.7352e+00  9.5354e-03 -8.4187e-02  1.5968e-01  7.7902e-02  1.2931e-01 -2.6487e+00  1.5684e+00  3.7007e-01  2.0041e+00  2.4825e+00  6.8079e-02  9.3046e-02  1.1774e-01  5.4933e-02  7.4644e-02  8.7181e-03  5.4444e-02  1.5484e+00  1.3637e+00  1.7438e+00  1.7194e+00  1.4869e+00  1.5698e+00  7.8883e-01  1.7322e+00  1.6331e+00  7.8432e-01  9.0627e-01
  6.7000e+00  1.6381e+00  1.7326e+00  1.4127e-02 -6.9520e-02  3.0419e-01  7.1164e-02  3.3718e-01 -1.7188e+00  2.5612e+00  5.1546e-01  2.0024e+00  2.4857e+00  1.4356e-01  1.5468e-01  2.0615e-01  9.9847e-02  1.2480e-01  5.7977e-02  8.0789e-02  1.5401e+00  1.3649e+00  2.5696e+00  2.6132e+00  2.2974e+00  2.4520e+00  1.1654e+00  2.4998e+00  2.2988e+00  1.0097e+00  9.3029e-01
  6.8000e+00  1.6423e+00  1.7365e+00  5.2214e-02  2.4801e-01  5.4284e-01  1.4454e-01  7.3248e-01 -1.5491e+00  2.2826e+00  1.3124e+00  2.0097e+00  2.5030e+00  3.9137e-01  5.8440e-01  5.0521e-01  3.9533e-01  4.1039e-01  1.8940e-01  1.9118e-01  1.5402e+00  1.3739e+00  2.3738e+00  2.2357e+00  2.1476e+00  2.2288e+00  1.5325e+00  3.6986e+00  3.0180e+00  1.1300e+00  9.4735e-01
  6.9000e+00  1.6426e+00  1.7348e+00  7.2870e-02  2.0271e-01  5.1595e-01  1.6845e-01  7.5474e-01 -1.1627e+00  2.1617e+00  1.3847e+00  2.0122e+00  2.5077e+00  4.6562e-01  6.6047e-01  5.7091e-01  4.6447e-01  4.5151e-01  2.2327e-01  2.4392e-01  1.5399e+00  1.3766e+00  2.3860e+00  2.2099e+00  2.0971e+00  2.1420e+00  1.4669e+00  3.6133e+00  2.9328e+00  9.7867e-01  9.4382e-01
