log_age	F1370	F1400	F1425	F1460	UV_1501	F1533	F1550	UV_1719	F1853	F1978
9.6	3.0893e+00	9.1964e+00	-1.4262e-02	1.1411e+00	-9.0859e-01	-1.4556e+00	-3.8642e+00	8.3075e-01	4.7402e-01	-1.2831e+00
9.7	2.7252e+00	7.8625e+00	2.3051e-01	1.2608e+00	-9.6707e-01	-1.5536e+00	-3.9826e+00	6.8594e-01	5.0780e-01	-1.5556e+00
9.8	7.3133e-01	2.2154e+00	2.7463e-01	5.2202e-01	-3.8450e-01	-4.4918e-01	-1.0828e+00	5.6995e-01	5.3535e-01	-1.4518e+00
9.9	3.7577e-01	5.6045e-01	3.9222e-01	2.5794e-01	-1.9070e-01	-1.8186e-01	-4.4766e-01	8.5303e-01	5.0168e-01	-1.0942e+00
10.0	3.1383e-01	2.7825e-01	3.1885e-01	1.8793e-01	-1.0476e-01	-1.1462e-01	-2.9746e-01	9.4609e-01	4.1724e-01	-9.3663e-01
10.1	1.9049e-01	1.7204e-01	1.6469e-01	1.0914e-01	-2.6544e-02	-4.4807e-02	-7.2364e-02	9.3545e-01	3.7014e-01	-1.2099e-01
10.2	1.1381e-01	1.4138e-01	1.0032e-01	6.8428e-02	2.4333e-02	-1.8544e-03	7.2974e-02	9.1190e-01	3.9887e-01	3.1968e-01
10.3	1.1094e-01	2.2585e-01	9.6688e-02	5.4300e-02	5.5743e-02	2.3304e-02	1.5706e-01	7.3764e-01	3.9464e-01	6.8232e-01
10.4	1.2645e-01	2.9345e-01	1.0377e-01	4.6069e-02	7.6426e-02	4.1709e-02	2.1203e-01	6.0747e-01	3.9662e-01	8.8481e-01
10.5	1.2750e-01	3.6474e-01	1.0078e-01	3.3301e-02	9.7340e-02	6.2606e-02	2.8247e-01	6.5219e-01	4.8584e-01	1.3257e+00
10.6	1.3050e-01	2.8238e-01	3.1956e-01	5.2995e-02	5.9704e-02	7.7571e-02	3.3156e-01	1.9191e-01	2.5620e-01	1.4262e+00
10.7	1.5522e-01	2.7776e-01	2.5857e-01	8.2495e-02	5.0669e-02	8.9237e-02	6.1352e-01	1.7790e-01	2.2842e-01	2.0121e+00
10.8	6.6214e-01	6.7420e-01	1.5586e-01	4.0608e-01	3.5600e-02	9.5605e-02	1.4734e+00	5.8358e-01	4.3013e-01	3.2080e+00
10.9	6.1775e-01	6.0210e-01	1.3499e-01	3.5438e-01	4.3112e-02	9.9350e-02	1.5578e+00	6.1581e-01	3.0863e-01	3.2117e+00
11.0	6.0973e-01	5.9775e-01	1.3983e-01	3.5153e-01	4.2526e-02	9.8208e-02	1.5440e+00	5.6167e-01	1.3527e-01	2.7541e+00
